time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:20:26.924817,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.024982,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.125335,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.225643,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.326980,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.426393,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.526676,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.626968,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.727243,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.827567,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:27.927842,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.028251,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.128538,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.228908,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.329303,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.429550,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.529831,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.630075,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.730319,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.830688,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:28.931026,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:29.031248,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:29.131659,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:29.232098,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:20:29.332380,0.022,0.0,0.0,0.0,0.0,0.0
