time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:20:25.806463,19478,1625664026,252959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.813236,19479,1625664026,272959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.837123,19480,1625664026,292959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95654296875)","(0.0, -0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.856076,19481,1625664026,313959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0730467140674591)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.874983,19482,1625664026,332959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.895854,19483,1625664026,353959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.916073,19484,1625664026,373959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95654296875)","(0.0, -0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.932967,19485,1625664026,392959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.08073583990335464)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.955673,19486,1625664026,413959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.975382,19487,1625664026,433959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:25.994179,19488,1625664026,452959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.014861,19489,1625664026,473959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.034710,19490,1625664026,492959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.058255,19491,1625664026,512959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.264011,19492,1625664026,532959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95654296875)","(0.0, -0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.264039,19493,1625664026,552959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.264050,19494,1625664026,572959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.264060,19495,1625664026,592959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95654296875)","(0.0, -0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.264067,19496,1625664026,612959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.264080,19497,1625664026,632959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.264087,19498,1625664026,653959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95654296875)","(0.0, -0.0730467140674591)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:20:26.264122,19499,1625664026,673959903,base_link,"['wheel_left_joint', 'wheel_right_joint']","(321.97955322265625, 321.95806884765625)","(0.0, 0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
