time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:21:56.294028,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:56.394409,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:56.494871,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:56.595291,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:56.695675,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:56.795974,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:56.896165,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:56.996522,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.096776,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.197866,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.298159,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.398613,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.498886,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.518670,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.618974,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.719332,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:57.798308,0.01,0.0,0.0,0.0,0.0,-0.05
2021/07/07/15:21:57.898583,0.01,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:57.973977,0.015,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.074396,0.02,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.174569,0.02,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.274897,0.02,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.310217,0.025,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.410562,0.03,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.510834,0.03,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.610986,0.03,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.686460,0.035,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.786672,0.04,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.887094,0.04,0.0,0.0,0.0,0.0,-0.1
2021/07/07/15:21:58.974269,0.04,0.0,0.0,0.0,0.0,-0.05
2021/07/07/15:21:59.074778,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.175232,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.275702,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.375898,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.476254,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.576539,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.676932,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.750158,0.045,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.850525,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:21:59.952521,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:22:00.052341,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:22:00.152737,0.05,0.0,0.0,0.0,0.0,0.0
