time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:21:44.635746,22888,1625664105,89831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.659659,22889,1625664105,109831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.675354,22890,1625664105,129831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.695982,22891,1625664105,149831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.715636,22892,1625664105,169831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.735538,22893,1625664105,189831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.755005,22894,1625664105,209831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.774763,22895,1625664105,229831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.793915,22896,1625664105,249831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.815009,22897,1625664105,269831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.833803,22898,1625664105,289831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.854042,22899,1625664105,309831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.874534,22900,1625664105,329831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.907878,22901,1625664105,350831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.918492,22902,1625664105,370831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.936050,22903,1625664105,389831035,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.956016,22904,1625664105,411236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.976312,22905,1625664105,431236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:44.995671,22906,1625664105,451236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:45.016778,22907,1625664105,471236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:45.036673,22908,1625664105,492236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:45.058133,22909,1625664105,511236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:45.074306,22910,1625664105,531236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:45.101117,22911,1625664105,551236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:21:45.299295,22912,1625664105,571236917,base_link,"['wheel_left_joint', 'wheel_right_joint']","(330.8750915527344, 330.86895751953125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
