time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:14:25.742849,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:25.841870,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:25.942212,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.042464,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.142748,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.242992,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.343261,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.443660,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.543944,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.644179,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.744441,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.844720,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:26.944933,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.045249,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.145554,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.245841,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.346161,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.446480,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.546886,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.647111,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.747360,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.847770,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:27.948280,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.048677,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.148969,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.249164,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.349434,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.450378,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.550601,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.651027,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.751408,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.851596,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:28.952085,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.052361,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.152597,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.252959,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.353099,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.453440,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.553818,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.654079,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.754336,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.854618,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:29.954882,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.055101,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.155547,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.255769,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.356036,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.456403,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.556733,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.656986,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.757335,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.857579,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:30.957908,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.058174,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.158530,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.258773,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.359022,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.459325,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.559636,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.659856,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.760237,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.860574,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:31.961106,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.061350,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.161624,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.261881,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.362163,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.462697,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.563012,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.663327,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.763616,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.863849,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:32.964175,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.064699,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.165256,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.265709,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.365959,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.466591,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.566926,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.667219,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.767507,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.867745,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:33.968129,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.068446,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.168813,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.269195,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.369381,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.469688,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.570303,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.670462,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.770675,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.870922,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:34.971326,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.073298,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.172899,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.273098,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.373350,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.473597,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.574040,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.674266,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.774648,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.874822,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:35.975128,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:14:36.075468,0.022,0.0,0.0,0.0,0.0,0.0
