time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:14:24.345193,8567,1625663664,767384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.345202,8568,1625663664,788384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.353441,8569,1625663664,807384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.377232,8570,1625663664,827384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.395747,8571,1625663664,847384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.412923,8572,1625663664,867384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.432857,8573,1625663664,887384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.452644,8574,1625663664,908384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.474468,8575,1625663664,927384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.492933,8576,1625663664,948384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.514278,8577,1625663664,967384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.537457,8578,1625663664,987384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.554152,8579,1625663665,8384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.575754,8580,1625663665,27384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.595646,8581,1625663665,48384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.617754,8582,1625663665,68384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.639723,8583,1625663665,87384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.653655,8584,1625663665,108384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.676926,8585,1625663665,128384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.692359,8586,1625663665,148384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.713645,8587,1625663665,167384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.735857,8588,1625663665,188384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.753077,8589,1625663665,207384027,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.772232,8590,1625663665,226338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.793665,8591,1625663665,247338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.814198,8592,1625663665,266338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.834320,8593,1625663665,287338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.854725,8594,1625663665,306338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:24.874249,8595,1625663665,327338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087832,8596,1625663665,347338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087848,8597,1625663665,366338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087854,8598,1625663665,387338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087887,8599,1625663665,407338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087891,8600,1625663665,426338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087902,8601,1625663665,447338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087909,8602,1625663665,466338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087918,8603,1625663665,486338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087924,8604,1625663665,506338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.087930,8605,1625663665,526338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.296971,8606,1625663665,546338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.296992,8607,1625663665,566338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.297002,8608,1625663665,587338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:14:25.297015,8609,1625663665,606338966,base_link,"['wheel_left_joint', 'wheel_right_joint']","(217.8022918701172, 217.78695678710938)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
