time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/07/15:30:27.969602,38810,1625664628,424681901,,22.6857261658,0.278847187757,0.0,6.32585096359,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.008545,38811,1625664628,464533090,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.049809,38812,1625664628,504748106,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.091439,38813,1625664628,544827938,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.129776,38814,1625664628,584892034,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.169264,38815,1625664628,624739885,,22.6857261658,0.252314925194,0.0,5.72394752502,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.208747,38816,1625664628,664534091,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.249062,38817,1625664628,704781055,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.289829,38818,1625664628,744939088,,22.6857261658,0.278847187757,0.0,6.32585096359,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.329822,38819,1625664628,785029888,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.536980,38820,1625664628,824722051,,22.6857261658,0.258947998285,0.0,5.87442350388,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.537000,38821,1625664628,864684104,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.537016,38822,1625664628,904859066,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.537032,38823,1625664628,944900035,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.537043,38824,1625664628,985033988,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.589250,38825,1625664629,24977922,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.608891,38826,1625664629,64690113,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.648952,38827,1625664629,104690074,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.688927,38828,1625664629,144763946,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.733930,38829,1625664629,184983015,,22.6857261658,0.278847187757,0.0,6.32585096359,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.771710,38830,1625664629,224944114,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.809397,38831,1625664629,265036106,,22.6857261658,0.258947998285,0.0,5.87442350388,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.848747,38832,1625664629,304656028,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.888733,38833,1625664629,344480037,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.928352,38834,1625664629,384499073,,22.6857261658,0.278847187757,0.0,6.32585096359,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:28.969546,38835,1625664629,424876928,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:29.009687,38836,1625664629,464911937,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:29.048881,38837,1625664629,504713058,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:29.088701,38838,1625664629,544528007,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:29.128794,38839,1625664629,584532022,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:29.168933,38840,1625664629,624587059,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:29.209202,38841,1625664629,664869070,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:30:29.249792,38842,1625664629,704902887,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
