time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:30:27.992465,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.092647,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.193047,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.293392,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.393644,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.493995,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.594349,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.694599,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.795034,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.895269,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:28.995672,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.095940,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.197222,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.297299,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.397610,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.497972,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.598279,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.698784,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.799014,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.899302,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:29.999708,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:30.099917,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:30.200588,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:30.300895,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:30.401168,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:30.501492,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:30.601802,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:30:30.702411,0.0,0.0,0.0,0.0,0.0,0.0
