time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:30:27.959122,43761,1625664628,414434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2080078125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:27.979997,43762,1625664628,434434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:27.999988,43763,1625664628,453434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.020877,43764,1625664628,473434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.039272,43765,1625664628,493434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.058131,43766,1625664628,513434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.077731,43767,1625664628,533434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.097970,43768,1625664628,554434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2080078125)","(0.0, -0.0730467140674591)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.118139,43769,1625664628,573434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.08073583990335464)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.137035,43770,1625664628,594434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.158631,43771,1625664628,614434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.179069,43772,1625664628,633434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.198786,43773,1625664628,653434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.220917,43774,1625664628,673434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2080078125)","(0.0, -0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.239851,43775,1625664628,694434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0730467140674591)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.258715,43776,1625664628,714434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2080078125)","(0.0, -0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.276908,43777,1625664628,733434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.08073583990335464)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.298443,43778,1625664628,753434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506156,43779,1625664628,773434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506166,43780,1625664628,794434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506171,43781,1625664628,814434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2080078125)","(0.0, -0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506181,43782,1625664628,834434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506199,43783,1625664628,853434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506212,43784,1625664628,873434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506222,43785,1625664628,893434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506233,43786,1625664628,913434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506257,43787,1625664628,934434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.506274,43788,1625664628,953434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.589112,43789,1625664628,973434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.589122,43790,1625664628,994434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.589129,43791,1625664629,13434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.589141,43792,1625664629,34434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.599090,43793,1625664629,53434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.619372,43794,1625664629,73434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.639365,43795,1625664629,93434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.658305,43796,1625664629,114434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.678027,43797,1625664629,133434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.700394,43798,1625664629,154434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.717608,43799,1625664629,174434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.737783,43800,1625664629,194434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.757384,43801,1625664629,213434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2080078125)","(0.0, -0.08073583990335464)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.780848,43802,1625664629,233434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.797601,43803,1625664629,253434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.818851,43804,1625664629,273434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.839887,43805,1625664629,294434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.860681,43806,1625664629,313434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.879016,43807,1625664629,333434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.913892,43808,1625664629,353434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.918145,43809,1625664629,373434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.938559,43810,1625664629,393434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.958298,43811,1625664629,413434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.978296,43812,1625664629,434434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:28.997847,43813,1625664629,453434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:29.017533,43814,1625664629,474434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2080078125)","(0.0, -0.0730467140674591)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:29.037657,43815,1625664629,493434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2080078125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:29.057790,43816,1625664629,513434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.07669904828071594)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:30:29.078030,43817,1625664629,533434055,base_link,"['wheel_left_joint', 'wheel_right_joint']","(536.7307739257812, 558.2095336914062)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
