time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:18:37.423625,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:37.523917,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:37.624170,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:37.724447,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:37.827692,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:37.926750,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.027018,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.127256,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.227416,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.328148,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.428362,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.528605,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.628832,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.729043,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.829464,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:38.929763,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.030018,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.130462,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.230614,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.331112,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.431316,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.531855,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.632111,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.732428,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.832699,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:39.932999,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:40.033260,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:40.133632,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:40.233984,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:18:40.334216,0.022,0.0,0.0,0.0,0.0,0.0
