time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:18:36.655456,15998,1625663917,107593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.674724,15999,1625663917,127593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.695167,16000,1625663917,147593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.715310,16001,1625663917,168593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.736003,16002,1625663917,187593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.755817,16003,1625663917,207593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.775533,16004,1625663917,228593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.793561,16005,1625663917,247593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.816082,16006,1625663917,268593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.838682,16007,1625663917,287593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.855695,16008,1625663917,307593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.875745,16009,1625663917,327593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.906857,16010,1625663917,347593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.917763,16011,1625663917,367593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.936074,16012,1625663917,387593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.968121,16013,1625663917,407593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.978864,16014,1625663917,428593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:36.993422,16015,1625663917,447593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203671,16016,1625663917,468593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203718,16017,1625663917,487593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203723,16018,1625663917,507593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203730,16019,1625663917,528593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203738,16020,1625663917,548593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203747,16021,1625663917,567593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203753,16022,1625663917,587593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203757,16023,1625663917,607593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203768,16024,1625663917,627593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.203774,16025,1625663917,647593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.311791,16026,1625663917,667593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.311804,16027,1625663917,687593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.311812,16028,1625663917,708593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.311822,16029,1625663917,727593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.311830,16030,1625663917,747593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.322206,16031,1625663917,767593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.334099,16032,1625663917,787593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.357625,16033,1625663917,807593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.379292,16034,1625663917,827593906,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.393684,16035,1625663917,848371078,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.415646,16036,1625663917,868371078,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.433806,16037,1625663917,888371078,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.456193,16038,1625663917,908371078,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.475913,16039,1625663917,928371078,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:18:37.494766,16040,1625663917,948371078,base_link,"['wheel_left_joint', 'wheel_right_joint']","(314.9125061035156, 314.9032897949219)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
