time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/07/15:33:02.369303,42670,1625664782,824537038,,22.664068222,0.305379420519,0.0,6.9211397171,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.572710,42671,1625664782,864774942,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.572762,42672,1625664782,904959917,,22.664068222,0.258947998285,0.0,5.86881494522,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.572775,42673,1625664782,944967985,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.572793,42674,1625664782,984977960,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.572813,42675,1625664783,24718999,,22.664068222,0.258947998285,0.0,5.86881494522,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.635784,42676,1625664783,64764022,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.648875,42677,1625664783,104865074,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.689767,42678,1625664783,145055055,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.728673,42679,1625664783,184771060,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.773854,42680,1625664783,224605083,,22.6857261658,0.272214114666,0.0,6.17537498474,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.813934,42681,1625664783,264717102,,22.6857261658,0.265581041574,0.0,6.02489900589,0.0,0.0,0,0,0,False,(),,
2021/07/07/15:33:02.855241,42682,1625664783,304819107,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
