time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:33:02.416491,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:02.516895,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:02.617186,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:02.717686,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:02.818041,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:02.918236,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.018585,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.118803,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.219106,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.319462,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.419764,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.520112,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.620355,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.720572,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.821105,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:03.921258,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.021541,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.121820,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.222116,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.322727,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.422752,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.523009,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.623269,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.723453,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.750362,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.850639,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.951064,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:04.990032,0.015,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:05.090234,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:05.190669,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:05.230097,0.025,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:05.330416,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:05.430920,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:05.531099,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:33:05.582527,0.03,0.0,0.0,0.0,0.0,0.05
2021/07/07/15:33:05.682897,0.03,0.0,0.0,0.0,0.0,0.1
2021/07/07/15:33:05.783116,0.03,0.0,0.0,0.0,0.0,0.1
2021/07/07/15:33:05.799014,0.03,0.0,0.0,0.0,0.0,0.15
2021/07/07/15:33:05.899408,0.03,0.0,0.0,0.0,0.0,0.2
2021/07/07/15:33:05.990142,0.03,0.0,0.0,0.0,0.0,0.25
2021/07/07/15:33:06.090458,0.03,0.0,0.0,0.0,0.0,0.3
2021/07/07/15:33:06.190653,0.03,0.0,0.0,0.0,0.0,0.35
2021/07/07/15:33:06.290898,0.03,0.0,0.0,0.0,0.0,0.4
2021/07/07/15:33:06.391298,0.03,0.0,0.0,0.0,0.0,0.4
