time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:33:02.362395,49719,1625664782,815234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.380371,49720,1625664782,835234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589736,49721,1625664782,856234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589747,49722,1625664782,875234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589754,49723,1625664782,895234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589761,49724,1625664782,916234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589765,49725,1625664782,936234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589775,49726,1625664782,955234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589793,49727,1625664782,976234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589801,49728,1625664782,996234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589813,49729,1625664783,15234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.589834,49730,1625664783,35234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.636742,49731,1625664783,55234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.636750,49732,1625664783,76234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.638491,49733,1625664783,96234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.659818,49734,1625664783,115234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.678336,49735,1625664783,135234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.698216,49736,1625664783,156234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.722532,49737,1625664783,175234939,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.739952,49738,1625664783,195035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.761533,49739,1625664783,215035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.780675,49740,1625664783,235035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.799562,49741,1625664783,256035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.823874,49742,1625664783,275035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.837818,49743,1625664783,295035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.857485,49744,1625664783,315035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.880135,49745,1625664783,336035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.914205,49746,1625664783,355035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.927425,49747,1625664783,375035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.954055,49748,1625664783,395035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.966569,49749,1625664783,416035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:33:02.984290,49750,1625664783,435035072,base_link,"['wheel_left_joint', 'wheel_right_joint']","(584.1414794921875, 652.5432739257812)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
