time,.Y,.X,.Theta
2021/07/07/15:33:02.354541,3.04604625702,3.42050218582,-4.14698600769
2021/07/07/15:33:02.387806,3.04604625702,3.42050218582,-4.14698600769
2021/07/07/15:33:02.421234,3.04604625702,3.42050218582,-4.14698600769
2021/07/07/15:33:02.454717,3.04604625702,3.42050218582,-4.14698600769
2021/07/07/15:33:02.487851,3.04441714287,3.4214360714,-4.14579629898
2021/07/07/15:33:02.521190,3.04441714287,3.4214360714,-4.14579629898
2021/07/07/15:33:02.554552,3.04441714287,3.4214360714,-4.14579629898
2021/07/07/15:33:02.587874,3.04441714287,3.4214360714,-4.14579629898
2021/07/07/15:33:02.621123,3.04441714287,3.4214360714,-4.14579629898
2021/07/07/15:33:02.654544,3.04441714287,3.4214360714,-4.14579629898
2021/07/07/15:33:02.687802,3.04441714287,3.4214360714,-4.14579629898
2021/07/07/15:33:02.721190,3.04441714287,3.4214360714,-4.14579629898
2021/07/07/15:33:02.754593,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:02.787821,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:02.821392,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:02.854455,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:02.887856,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:02.921159,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:02.954576,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:02.987829,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.021202,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.054530,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.087911,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.121117,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.154603,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.187871,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.221392,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.254708,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.287923,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.321613,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.354581,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.387999,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.421388,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.454730,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.487996,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.521128,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.554488,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.587786,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.621125,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.654509,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.687820,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.721184,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:03.754520,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.787828,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.822299,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.854529,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.887746,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.921210,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.954640,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:03.987898,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.021186,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.054498,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.087842,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.121147,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.154604,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.187842,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.221299,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.254610,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.287927,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.321875,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.354827,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.387972,3.0446164608,3.42136383057,-4.14595174789
2021/07/07/15:33:04.421367,3.0446164608,3.42136383057,-4.14595174789
2021/07/07/15:33:04.454839,3.0446164608,3.42136383057,-4.14595174789
2021/07/07/15:33:04.487929,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.521242,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.554671,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.587896,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.621237,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.654542,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.687784,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.721190,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.754518,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.787841,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.821227,3.04495477676,3.42114949226,-4.14631319046
2021/07/07/15:33:04.854393,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.887790,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.921307,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.954518,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:04.987729,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:05.021144,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:05.054533,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:05.087842,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:05.121120,3.04504776001,3.42107510567,-4.14611577988
2021/07/07/15:33:05.154646,3.04504776001,3.42107510567,-4.14611577988
