time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:10:35.914763,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.015124,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.115403,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.215659,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.316475,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.416789,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.517144,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.617341,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.717605,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.817904,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:36.918288,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.018412,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.118815,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.219071,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.319519,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.419874,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.520316,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.620446,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.720713,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.821238,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:37.921551,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:38.021928,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:38.122163,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:38.222407,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:10:38.322703,0.022,0.0,0.0,0.0,0.0,0.0
