time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:10:21.216557,965,1625663421,664873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.233660,966,1625663421,683873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.252274,967,1625663421,703873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.271537,968,1625663421,723873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.295846,969,1625663421,743873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.313971,970,1625663421,764873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.333757,971,1625663421,783873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.353447,972,1625663421,804873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.374227,973,1625663421,823873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.398713,974,1625663421,843873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.412398,975,1625663421,863873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.432862,976,1625663421,883873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.451782,977,1625663421,903873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.472084,978,1625663421,923873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.492452,979,1625663421,943873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.513809,980,1625663421,963873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.535532,981,1625663421,983873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.558687,982,1625663422,3873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.572881,983,1625663422,24873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.593186,984,1625663422,44873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.614936,985,1625663422,63873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.633510,986,1625663422,83873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.653053,987,1625663422,104873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.672365,988,1625663422,123873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.692468,989,1625663422,143873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.712729,990,1625663422,164873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.736728,991,1625663422,183873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.751745,992,1625663422,203873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.774443,993,1625663422,224873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980493,994,1625663422,244873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980503,995,1625663422,263873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980521,996,1625663422,283873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980536,997,1625663422,303873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980540,998,1625663422,324873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980550,999,1625663422,343873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980556,1000,1625663422,363873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980560,1001,1625663422,384873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980567,1002,1625663422,404873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:21.980572,1003,1625663422,423873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.067672,1004,1625663422,443873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.067678,1005,1625663422,464873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.067692,1006,1625663422,483873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.067698,1007,1625663422,503873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.072485,1008,1625663422,523873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.092349,1009,1625663422,544873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.115101,1010,1625663422,564873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.132983,1011,1625663422,583873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.153470,1012,1625663422,603873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.175300,1013,1625663422,623873907,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.193730,1014,1625663422,644201898,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.217581,1015,1625663422,664201898,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.232995,1016,1625663422,685201898,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.254355,1017,1625663422,704201898,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.272586,1018,1625663422,724201898,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:10:22.292944,1019,1625663422,744201898,base_link,"['wheel_left_joint', 'wheel_right_joint']","(41.77950668334961, 41.767234802246094)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
