time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/09/14:46:08.934789,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.035098,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.135374,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.235705,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.336088,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.436272,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.536592,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.636872,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.737157,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.837555,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:09.937827,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.037977,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.138295,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.238672,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.339025,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.439285,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.539522,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.639864,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.740128,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.840426,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:10.940718,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.041063,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.141304,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.241594,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.341976,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.442149,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.542384,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.642639,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.742902,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.843135,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:11.943369,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.043759,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.143944,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.244235,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.344608,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.444832,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.545089,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.645275,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.745512,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.845905,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:12.946376,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:13.046648,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:13.147031,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:13.247260,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:13.347507,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:13.448360,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:46:13.548660,0.022,0.0,0.0,0.0,0.0,0.0
