time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/09/14:45:53.779794,1,1625834754,429377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0730467140674591)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:53.798231,2,1625834754,448377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:53.819302,3,1625834754,468377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027211,4,1625834754,488377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027223,5,1625834754,508377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027244,6,1625834754,529377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, -0.0015339809469878674)","(0.0, -0.0730467140674591)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027309,7,1625834754,548377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.08073583990335464)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027318,8,1625834754,569377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027325,9,1625834754,588377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027335,10,1625834754,608377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027346,11,1625834754,629377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, -0.0015339809469878674)","(0.0, -0.0730467140674591)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027376,12,1625834754,648377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.08073583990335464)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.027385,13,1625834754,669377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.153394,14,1625834754,688377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.153411,15,1625834754,709377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.153419,16,1625834754,728377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/14:45:54.153438,17,1625834754,749377923,base_link,"['wheel_left_joint', 'wheel_right_joint']","(0.0, 0.0)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
