time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:26:50.718364,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:50.818651,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:50.918897,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.019175,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.119416,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.219775,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.320385,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.420671,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.521076,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.621233,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.721591,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.821934,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:51.922228,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.022705,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.122982,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.223230,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.323807,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.424053,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.524388,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.624616,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.724876,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.825275,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:52.925507,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.025881,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.126065,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.226406,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.326795,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.427098,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.527314,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.627582,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.727823,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.828282,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:53.928576,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.028784,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.129010,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.229242,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.329699,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.429982,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.530316,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.630652,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.730906,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.831267,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:54.931466,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.031856,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.132154,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.232431,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.332825,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.433158,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.533326,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.633628,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.734014,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.834342,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:55.934857,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.035252,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.135589,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.236161,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.336382,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.436705,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.537018,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.637331,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.737636,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.739683,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.839943,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.891604,0.015,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:56.991781,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.067772,0.025,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.168176,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.268513,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.292213,0.035,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.392518,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.492907,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.547044,0.045,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.647395,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.747695,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:26:57.835371,0.05,0.0,0.0,0.0,0.0,-0.05
2021/07/07/15:26:57.869982,0.055,0.0,0.0,0.0,0.0,-0.1
