time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:26:50.657930,34613,1625664411,112919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.678084,34614,1625664411,133919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.697859,34615,1625664411,153919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.717417,34616,1625664411,172919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.737500,34617,1625664411,192919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.755725,34618,1625664411,212919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.778443,34619,1625664411,233919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.3991088867188, 584.1767578125)","(-0.0730467140674591, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.796658,34620,1625664411,253919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.07669904828071594, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.818218,34621,1625664411,272919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.3991088867188, 584.1767578125)","(-0.08073583990335464, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.837750,34622,1625664411,292919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.07669904828071594, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.855484,34623,1625664411,312919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.878652,34624,1625664411,332919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.3991088867188, 584.1767578125)","(-0.07669904828071594, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.907189,34625,1625664411,352919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.07669904828071594, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.916071,34626,1625664411,373919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.938714,34627,1625664411,393919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.955982,34628,1625664411,412919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:50.977898,34629,1625664411,432919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:51.001560,34630,1625664411,452919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:26:51.016661,34631,1625664411,473919893,base_link,"['wheel_left_joint', 'wheel_right_joint']","(534.400634765625, 584.1767578125)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
