time,.Y,.X,.Theta
2021/07/07/15:26:50.654645,2.41554069519,2.00962018967,-4.63873004913
2021/07/07/15:26:50.687834,2.41554069519,2.00962018967,-4.63873004913
2021/07/07/15:26:50.721195,2.41554069519,2.00962018967,-4.63873004913
2021/07/07/15:26:50.754562,2.41482877731,2.00959467888,-4.63905382156
2021/07/07/15:26:50.787832,2.41482877731,2.00959467888,-4.63905382156
2021/07/07/15:26:50.821381,2.41482877731,2.00959467888,-4.63905382156
2021/07/07/15:26:50.854461,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:50.887839,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:50.921166,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:50.954690,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:50.987753,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.021118,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.054510,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.087850,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.121222,2.41598820686,2.00966906548,-4.63893461227
2021/07/07/15:26:51.154572,2.41598820686,2.00966906548,-4.63893461227
2021/07/07/15:26:51.187810,2.41598820686,2.00966906548,-4.63893461227
2021/07/07/15:26:51.221181,2.41598820686,2.00966906548,-4.63893461227
2021/07/07/15:26:51.254556,2.41482877731,2.00959467888,-4.63905382156
2021/07/07/15:26:51.287805,2.41482877731,2.00959467888,-4.63905382156
2021/07/07/15:26:51.321419,2.41482877731,2.00959467888,-4.63905382156
2021/07/07/15:26:51.354486,2.41482877731,2.00959467888,-4.63905382156
2021/07/07/15:26:51.387873,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.421149,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.454528,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.487758,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.521203,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.554596,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.587914,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.621161,2.41445827484,2.00961089134,-4.63888406754
2021/07/07/15:26:51.654591,2.41445827484,2.00961089134,-4.63888406754
2021/07/07/15:26:51.687976,2.41445827484,2.00961089134,-4.63888406754
2021/07/07/15:26:51.721181,2.41445827484,2.00961089134,-4.63888406754
2021/07/07/15:26:51.754520,2.41648864746,2.00972056389,-4.64028263092
2021/07/07/15:26:51.787877,2.41648864746,2.00972056389,-4.64028263092
2021/07/07/15:26:51.821392,2.41648864746,2.00972056389,-4.64028263092
2021/07/07/15:26:51.854414,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.887793,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.921172,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.954572,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:51.987846,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:52.021191,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:52.054495,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:52.087857,2.41467189789,2.00961923599,-4.63891363144
2021/07/07/15:26:52.121129,2.41445827484,2.00961089134,-4.63888406754
2021/07/07/15:26:52.154546,2.41445827484,2.00961089134,-4.63888406754
2021/07/07/15:26:52.187779,2.41445827484,2.00961089134,-4.63888406754
2021/07/07/15:26:52.221286,2.41445827484,2.00961089134,-4.63888406754
2021/07/07/15:26:52.254616,2.41560149193,2.00968456268,-4.63874959946
2021/07/07/15:26:52.287807,2.41560149193,2.00968456268,-4.63874959946
2021/07/07/15:26:52.321915,2.41560149193,2.00968456268,-4.63874959946
2021/07/07/15:26:52.354459,2.41517782211,2.00963640213,-4.6385474205
