time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/09/14:49:58.595788,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:58.696120,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:58.796483,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:58.896936,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:58.997162,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.097419,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.199131,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.298217,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.398562,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.498974,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.599208,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.699843,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.800233,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:49:59.900484,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.001009,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.101209,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.112615,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.213086,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.280721,0.015,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.381125,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.481402,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.581675,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/09/14:50:00.600670,0.02,0.0,0.0,0.0,0.0,0.05
2021/07/09/14:50:00.624846,0.025,0.0,0.0,0.0,0.0,0.1
2021/07/09/14:50:00.725046,0.03,0.0,0.0,0.0,0.0,0.1
2021/07/09/14:50:00.825544,0.03,0.0,0.0,0.0,0.0,0.1
2021/07/09/14:50:00.905009,0.03,0.0,0.0,0.0,0.0,0.15
2021/07/09/14:50:00.937299,0.035,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.037608,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.137866,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.238282,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.338563,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.438951,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.539301,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.639463,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.739839,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.840109,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:01.940454,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.041069,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.141667,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.241875,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.342524,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.442972,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.543200,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.643774,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.743937,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.844362,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:02.944706,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.045214,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.145654,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.245960,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.346251,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.446891,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.547124,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.647542,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.747888,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.848068,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:03.948795,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.048987,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.149432,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.249778,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.350031,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.450860,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.551136,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.651415,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.751931,0.04,0.0,0.0,0.0,0.0,0.2
2021/07/09/14:50:04.852118,0.04,0.0,0.0,0.0,0.0,0.2
