time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/09/15:00:24.492032,22411,1625835625,143929004,,22.642408371,0.298746347427,0.0,6.76433706284,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.532847,22412,1625835625,184253931,,22.642408371,0.285480231047,0.0,6.46396017075,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.573736,22413,1625835625,224562883,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.612493,22414,1625835625,264085054,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.651891,22415,1625835625,303997039,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.693178,22416,1625835625,344257116,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.733863,22417,1625835625,384545087,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.772783,22418,1625835625,424325942,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.813741,22419,1625835625,464469909,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.852000,22420,1625835625,504158973,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.891710,22421,1625835625,544224023,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.932287,22422,1625835625,584391117,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:24.972746,22423,1625835625,624413013,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.012877,22424,1625835625,664336919,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.052831,22425,1625835625,704447031,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.091970,22426,1625835625,744091987,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.131830,22427,1625835625,783981084,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.174713,22428,1625835625,824039936,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.380730,22429,1625835625,864243030,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.380742,22430,1625835625,904284954,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.380750,22431,1625835625,944256067,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.380760,22432,1625835625,984455108,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.380771,22433,1625835626,24077892,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.488860,22434,1625835626,63936948,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.488872,22435,1625835626,104335069,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.493493,22436,1625835626,144963979,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.532072,22437,1625835626,184168100,,22.642408371,0.278847187757,0.0,6.3137717247,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.572504,22438,1625835626,223967075,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.611959,22439,1625835626,264219999,,22.642408371,0.258947998285,0.0,5.86320638657,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.652273,22440,1625835626,304331064,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.692435,22441,1625835626,344381093,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.733114,22442,1625835626,384351015,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.772402,22443,1625835626,424487113,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.813427,22444,1625835626,464251041,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.851786,22445,1625835626,503917932,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.891820,22446,1625835626,543937921,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.932090,22447,1625835626,584259986,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:25.980508,22448,1625835626,624295949,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.012116,22449,1625835626,664238929,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.052604,22450,1625835626,704404115,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.093931,22451,1625835626,744307041,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.132848,22452,1625835626,784435033,,22.664068222,0.272214114666,0.0,6.16947889328,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.172918,22453,1625835626,824487924,,22.664068222,0.278847187757,0.0,6.31981134415,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.212579,22454,1625835626,864089965,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.423646,22455,1625835626,903924942,,22.642408371,0.272214114666,0.0,6.16358327866,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.423660,22456,1625835626,943957090,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.423685,22457,1625835626,983932971,,22.642408371,0.265581041574,0.0,6.01339483261,0.0,0.0,0,0,0,False,(),,
2021/07/09/15:00:26.423695,22458,1625835627,24168014,,22.664068222,0.265581041574,0.0,6.01914691925,0.0,0.0,0,0,0,False,(),,
