time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/09/15:00:24.483980,26896,1625835625,141813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.499999,26897,1625835625,162813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.522878,26898,1625835625,181813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.540786,26899,1625835625,202813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.575438,26900,1625835625,221813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.582433,26901,1625835625,241813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.602495,26902,1625835625,262813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.622447,26903,1625835625,281813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.643642,26904,1625835625,301813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.662814,26905,1625835625,322813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.683058,26906,1625835625,341813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.702889,26907,1625835625,361813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.720602,26908,1625835625,381813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.740722,26909,1625835625,401813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.762908,26910,1625835625,422813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.781672,26911,1625835625,441813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.801068,26912,1625835625,461813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.823103,26913,1625835625,482813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.842724,26914,1625835625,502813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.864222,26915,1625835625,521813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.886081,26916,1625835625,542813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.902004,26917,1625835625,562813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.921663,26918,1625835625,581813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.941789,26919,1625835625,601813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.960937,26920,1625835625,622813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:24.980932,26921,1625835625,641813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:25.001667,26922,1625835625,661813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:25.021532,26923,1625835625,681813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:25.041594,26924,1625835625,701813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:25.061296,26925,1625835625,722813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:25.085027,26926,1625835625,741813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:25.100329,26927,1625835625,761813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:25.122710,26928,1625835625,782813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
2021/07/09/15:00:25.142408,26929,1625835625,801813980,base_link,"['wheel_left_joint', 'wheel_right_joint']","(482.98004150390625, 664.974609375)","(0.0, 0.0)","(-1.0241615065627887e-34, 5.898170001762745e+29)"
