time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:16:49.490846,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:49.591121,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:49.691429,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:49.791742,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:49.892061,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:49.992200,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.092486,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.192910,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.293266,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.393577,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.493850,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.594102,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.694394,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.794827,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.895125,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:50.995367,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.095593,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.196024,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.296490,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.396795,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.497089,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.597367,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.698704,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.798177,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.898607,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:51.998905,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.099223,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.199874,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.300276,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.400751,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.500896,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.601125,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.702425,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.802600,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:52.903041,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.003199,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.103405,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.203998,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.304165,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.404543,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.504714,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.604979,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.705395,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.805804,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:53.906083,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:54.006312,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:54.106536,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:54.206812,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:54.307293,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:54.407567,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:54.507896,0.022,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:16:54.608192,0.022,0.0,0.0,0.0,0.0,0.0
