time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:16:47.453682,12278,1625663807,917484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.475386,12279,1625663807,937484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.495471,12280,1625663807,957484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.514708,12281,1625663807,977484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.537255,12282,1625663807,998484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.554801,12283,1625663808,17484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.577550,12284,1625663808,37484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.593854,12285,1625663808,58484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.613575,12286,1625663808,77484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.634053,12287,1625663808,98484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.654585,12288,1625663808,117484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.673622,12289,1625663808,137484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.695201,12290,1625663808,157484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.715253,12291,1625663808,178484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.736400,12292,1625663808,198484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.756911,12293,1625663808,217484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.775779,12294,1625663808,237484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.794852,12295,1625663808,258484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.815950,12296,1625663808,277484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:16:47.833975,12297,1625663808,297484003,base_link,"['wheel_left_joint', 'wheel_right_joint']","(310.6787109375, 310.6848449707031)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
