time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/15:25:06.422385,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:06.522655,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:06.622838,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:06.723071,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:06.823605,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:06.924039,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.024313,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.124713,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.225088,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.325533,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.425671,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.526008,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.626258,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.726567,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.826953,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:07.927304,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.027840,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.128307,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.228522,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.328957,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.429363,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.529629,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.629896,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.730174,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.830629,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:08.930933,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:09.031157,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:09.131428,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/15:25:09.231677,0.0,0.0,0.0,0.0,0.0,0.0
