time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/15:25:06.596294,31158,1625664307,54833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.617867,31159,1625664307,73833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.638055,31160,1625664307,93833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.657915,31161,1625664307,114833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.675051,31162,1625664307,133833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.695399,31163,1625664307,154833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.720505,31164,1625664307,174833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.736726,31165,1625664307,193833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.757258,31166,1625664307,214833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.778081,31167,1625664307,234833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.797696,31168,1625664307,253833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.817829,31169,1625664307,273833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.839004,31170,1625664307,293833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.859317,31171,1625664307,313833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.875362,31172,1625664307,333833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.908690,31173,1625664307,354833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.916260,31174,1625664307,373833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.937604,31175,1625664307,393833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.955594,31176,1625664307,414833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.977208,31177,1625664307,433833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:06.995677,31178,1625664307,454833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
2021/07/07/15:25:07.020554,31179,1625664307,474833934,base_link,"['wheel_left_joint', 'wheel_right_joint']","(528.0560913085938, 577.5653076171875)","(0.0, 0.0)","(-34850.41015625, 5.70048682952868e+29)"
