time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/14:25:43.876253,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:43.976517,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.076942,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.177151,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.277559,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.377836,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.478098,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.578437,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.678704,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.778935,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.879232,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:44.979446,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.079934,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.180434,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.280657,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.381078,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.481410,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.582104,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.682580,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.783191,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.883620,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:45.983824,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.084189,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.184487,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.284897,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.385147,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.485412,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.585685,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.686001,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.786309,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.886763,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:46.986970,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:47.087252,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/14:25:47.187642,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:47.287987,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:47.388244,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:47.488496,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:47.588750,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:47.689088,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:47.789494,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:47.889733,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:47.989924,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.090126,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.190382,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.290720,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.390965,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.491180,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.591535,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.692079,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.792536,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.892891,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:48.993143,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.093649,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.193906,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.294163,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.394458,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.494629,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.595102,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.695443,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.795648,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.895931,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:49.996148,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:50.096499,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/07/14:25:50.197360,0.0,0.0,0.0,0.0,0.0,0.65
