time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/07/13:37:21.178598,42218,1625657841,622970104,,22.8156814575,0.325278580189,0.0,7.42145252228,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.216190,42219,1625657841,663414955,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.258163,42220,1625657841,702924013,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.295934,42221,1625657841,742917060,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.339404,42222,1625657841,782879114,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.375962,42223,1625657841,822949886,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.415810,42224,1625657841,862968921,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.455955,42225,1625657841,903080940,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.495728,42226,1625657841,942919969,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.535875,42227,1625657841,983050107,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.575426,42228,1625657842,22953033,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.615392,42229,1625657842,62992095,,22.8156814575,0.298746347427,0.0,6.81610155106,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.655422,42230,1625657842,102943897,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.695499,42231,1625657842,142868041,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.735432,42232,1625657842,182997941,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.776216,42233,1625657842,222868919,,22.8156814575,0.298746347427,0.0,6.81610155106,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.981613,42234,1625657842,262835025,,22.8156814575,0.298746347427,0.0,6.81610155106,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.981627,42235,1625657842,302856922,,22.8156814575,0.298746347427,0.0,6.81610155106,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.981643,42236,1625657842,342938899,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.981649,42237,1625657842,382865905,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:21.981657,42238,1625657842,422835111,,22.8156814575,0.298746347427,0.0,6.81610155106,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.064966,42239,1625657842,462865114,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.064979,42240,1625657842,502906084,,22.8156814575,0.298746347427,0.0,6.81610155106,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.095544,42241,1625657842,542860031,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.135657,42242,1625657842,583142995,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.175458,42243,1625657842,623002052,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.215431,42244,1625657842,662992000,,22.8156814575,0.298746347427,0.0,6.81610155106,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.255358,42245,1625657842,702917098,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.295551,42246,1625657842,742963075,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.335773,42247,1625657842,783098936,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.375481,42248,1625657842,822992086,,22.8156814575,0.305379420519,0.0,6.96743917465,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.415846,42249,1625657842,862967014,,22.8156814575,0.298746347427,0.0,6.81610155106,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.456328,42250,1625657842,902947902,,22.8156814575,0.312012463808,0.0,7.11877727509,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:37:22.495476,42251,1625657842,942915916,,22.7940216064,0.305379420519,0.0,6.96082496643,0.0,0.0,0,0,0,False,(),,
