time,.Y,.X,.Theta
2021/07/07/13:37:21.154680,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:21.187939,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:21.221354,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:21.254637,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:21.288055,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:21.322113,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:21.354876,2.11423945427,4.16341590881,-1.47296154499
2021/07/07/13:37:21.388031,2.11423945427,4.16341590881,-1.47296154499
2021/07/07/13:37:21.421258,2.11423945427,4.16341590881,-1.47296154499
2021/07/07/13:37:21.454697,2.11423945427,4.16341590881,-1.47296154499
2021/07/07/13:37:21.487879,2.11361312866,4.1636300087,-1.47166383266
2021/07/07/13:37:21.521290,2.11361312866,4.1636300087,-1.47166383266
2021/07/07/13:37:21.554706,2.11361312866,4.1636300087,-1.47166383266
2021/07/07/13:37:21.587962,2.11361312866,4.1636300087,-1.47166383266
2021/07/07/13:37:21.621193,2.11395788193,4.1634888649,-1.47224771976
2021/07/07/13:37:21.654521,2.11395788193,4.1634888649,-1.47224771976
2021/07/07/13:37:21.687976,2.11395788193,4.1634888649,-1.47224771976
2021/07/07/13:37:21.721614,2.11395788193,4.1634888649,-1.47224771976
2021/07/07/13:37:21.754753,2.11395788193,4.1634888649,-1.47224771976
2021/07/07/13:37:21.787959,2.11395788193,4.1634888649,-1.47224771976
2021/07/07/13:37:21.821403,2.11395788193,4.1634888649,-1.47224771976
2021/07/07/13:37:21.854544,2.11521482468,4.16299295425,-1.47548472881
2021/07/07/13:37:21.887934,2.11521482468,4.16299295425,-1.47548472881
2021/07/07/13:37:21.921389,2.11521482468,4.16299295425,-1.47548472881
2021/07/07/13:37:21.954644,2.11521482468,4.16299295425,-1.47548472881
2021/07/07/13:37:21.987806,2.11460614204,4.1632642746,-1.4736187458
2021/07/07/13:37:22.021183,2.11460614204,4.1632642746,-1.4736187458
2021/07/07/13:37:22.054690,2.11460614204,4.1632642746,-1.4736187458
2021/07/07/13:37:22.087938,2.11460614204,4.1632642746,-1.4736187458
2021/07/07/13:37:22.121201,2.11511921883,4.16295337677,-1.47242569923
2021/07/07/13:37:22.154476,2.11511921883,4.16295337677,-1.47242569923
2021/07/07/13:37:22.187818,2.11511921883,4.16295337677,-1.47242569923
2021/07/07/13:37:22.221215,2.11511921883,4.16295337677,-1.47242569923
2021/07/07/13:37:22.254636,2.11511921883,4.16295337677,-1.47242569923
2021/07/07/13:37:22.287931,2.11511921883,4.16295337677,-1.47242569923
2021/07/07/13:37:22.321530,2.11511921883,4.16295337677,-1.47242569923
2021/07/07/13:37:22.354505,2.11486101151,4.16310119629,-1.47249221802
2021/07/07/13:37:22.388001,2.11486101151,4.16310119629,-1.47249221802
2021/07/07/13:37:22.421281,2.11486101151,4.16310119629,-1.47249221802
2021/07/07/13:37:22.454659,2.11486101151,4.16310119629,-1.47249221802
2021/07/07/13:37:22.487837,2.115711689,4.16275787354,-1.47494566441
2021/07/07/13:37:22.521268,2.115711689,4.16275787354,-1.47494566441
2021/07/07/13:37:22.554619,2.115711689,4.16275787354,-1.47494566441
2021/07/07/13:37:22.587982,2.115711689,4.16275787354,-1.47494566441
2021/07/07/13:37:22.621160,2.11430120468,4.16335535049,-1.47393107414
2021/07/07/13:37:22.654535,2.11430120468,4.16335535049,-1.47393107414
2021/07/07/13:37:22.688257,2.11430120468,4.16335535049,-1.47393107414
2021/07/07/13:37:22.721387,2.11430120468,4.16335535049,-1.47393107414
2021/07/07/13:37:22.754609,2.11430120468,4.16335535049,-1.47393107414
2021/07/07/13:37:22.788280,2.11430120468,4.16335535049,-1.47393107414
2021/07/07/13:37:22.822002,2.11430120468,4.16335535049,-1.47393107414
2021/07/07/13:37:22.854633,2.11430120468,4.16335535049,-1.47393107414
2021/07/07/13:37:22.887894,2.11455869675,4.16324853897,-1.47381675243
2021/07/07/13:37:22.921252,2.11455869675,4.16324853897,-1.47381675243
2021/07/07/13:37:22.954625,2.11455869675,4.16324853897,-1.47381675243
2021/07/07/13:37:22.987797,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:23.021122,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:23.054622,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:23.087919,2.11351442337,4.16370248795,-1.47227346897
2021/07/07/13:37:23.121136,2.11361837387,4.16365671158,-1.47207593918
2021/07/07/13:37:23.154511,2.11361837387,4.16365671158,-1.47207593918
2021/07/07/13:37:23.187792,2.11361837387,4.16365671158,-1.47207593918
2021/07/07/13:37:23.221219,2.11361837387,4.16365671158,-1.47207593918
2021/07/07/13:37:23.254638,2.11361837387,4.16365671158,-1.47207593918
2021/07/07/13:37:23.287896,2.11361837387,4.16365671158,-1.47207593918
2021/07/07/13:37:23.321488,2.11361837387,4.16365671158,-1.47207593918
2021/07/07/13:37:23.354490,2.115711689,4.16275787354,-1.47494566441
2021/07/07/13:37:23.387981,2.115711689,4.16275787354,-1.47494566441
2021/07/07/13:37:23.421266,2.115711689,4.16275787354,-1.47494566441
2021/07/07/13:37:23.454664,2.115711689,4.16275787354,-1.47494566441
2021/07/07/13:37:23.487883,2.1133890152,4.16369342804,-1.47263026237
2021/07/07/13:37:23.521335,2.1133890152,4.16369342804,-1.47263026237
2021/07/07/13:37:23.554698,2.1133890152,4.16369342804,-1.47263026237
2021/07/07/13:37:23.587902,2.1133890152,4.16369342804,-1.47263026237
2021/07/07/13:37:23.621161,2.11294555664,4.16368627548,-1.45463573933
2021/07/07/13:37:23.654485,2.11294555664,4.16368627548,-1.45463573933
2021/07/07/13:37:23.687825,2.11294555664,4.16368627548,-1.45463573933
2021/07/07/13:37:23.721217,2.11294555664,4.16368627548,-1.45463573933
