time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/07/13:24:55.258497,30718,1625657095,702896118,,22.8373394012,0.312012463808,0.0,7.12553501129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.296582,30719,1625657095,743092060,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.337239,30720,1625657095,783112049,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.375936,30721,1625657095,822746992,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.416187,30722,1625657095,862778902,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.456330,30723,1625657095,902637004,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.663367,30724,1625657095,942979097,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.663386,30725,1625657095,982544898,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.663396,30726,1625657096,22325038,,22.8373394012,0.292113304138,0.0,6.67109060287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.663410,30727,1625657096,62419891,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.663457,30728,1625657096,102730989,,22.8373394012,0.292113304138,0.0,6.67109060287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.765811,30729,1625657096,142684936,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.765818,30730,1625657096,182822942,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.779023,30731,1625657096,222863912,,22.8373394012,0.292113304138,0.0,6.67109060287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.816435,30732,1625657096,262949943,,22.8373394012,0.312012463808,0.0,7.12553501129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.860518,30733,1625657096,302889108,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.897218,30734,1625657096,342636108,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.936347,30735,1625657096,382862091,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:55.976494,30736,1625657096,422964096,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.016912,30737,1625657096,462955951,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.056084,30738,1625657096,502837896,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.096694,30739,1625657096,542671918,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.136416,30740,1625657096,582890987,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.176764,30741,1625657096,623136997,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.215911,30742,1625657096,662689924,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.256062,30743,1625657096,702749013,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.296614,30744,1625657096,742656946,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.336699,30745,1625657096,782779932,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.376463,30746,1625657096,822843074,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.416908,30747,1625657096,863120079,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.456928,30748,1625657096,902703046,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.668048,30749,1625657096,942560911,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.668057,30750,1625657096,982557058,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.668063,30751,1625657097,22629976,,22.8373394012,0.292113304138,0.0,6.67109060287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.668072,30752,1625657097,62815904,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.668088,30753,1625657097,102907896,,22.8373394012,0.292113304138,0.0,6.67109060287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.724758,30754,1625657097,142575025,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.736125,30755,1625657097,182717084,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.776340,30756,1625657097,222671031,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.818944,30757,1625657097,262873888,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.856777,30758,1625657097,303236007,,22.8373394012,0.312012463808,0.0,7.12553501129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.895862,30759,1625657097,342519044,,22.8373394012,0.3186455369,0.0,7.27701616287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.936365,30760,1625657097,382838010,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:56.979370,30761,1625657097,422902107,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.018676,30762,1625657097,462889909,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.056490,30763,1625657097,502877950,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.095767,30764,1625657097,542536973,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.138389,30765,1625657097,582680940,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.176556,30766,1625657097,622903108,,22.8373394012,0.312012463808,0.0,7.12553501129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.216971,30767,1625657097,662868022,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.256891,30768,1625657097,702949047,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.295737,30769,1625657097,742543935,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.336092,30770,1625657097,782725095,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.376365,30771,1625657097,823029041,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.417125,30772,1625657097,862746953,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.457278,30773,1625657097,902858972,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.666970,30774,1625657097,942807912,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.667001,30775,1625657097,982506036,,22.8373394012,0.292113304138,0.0,6.67109060287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.667018,30776,1625657098,22686958,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.667026,30777,1625657098,62751054,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.667049,30778,1625657098,102827072,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.781853,30779,1625657098,142582893,,22.8373394012,0.292113304138,0.0,6.67109060287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.781865,30780,1625657098,182576894,,22.8373394012,0.305379420519,0.0,6.97405338287,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.781892,30781,1625657098,222625017,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.816293,30782,1625657098,262712955,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:24:57.856443,30783,1625657098,302865982,,22.8373394012,0.298746347427,0.0,6.82257223129,0.0,0.0,0,0,0,False,(),,
