time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/07/14:11:43.460475,1451,1625659903,910174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.03834952414035797, -0.02914563938975334, -0.036815542727708817, -0.018407771363854408)","(-0.07669904828071594, 0.0, -0.07669904828071594, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.480134,1452,1625659903,931174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.036815542727708817, -0.02914563938975334, -0.03528156131505966, -0.018407771363854408)","(0.0730467140674591, 0.0, 0.0730467140674591, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.502687,1453,1625659903,950174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.036815542727708817, -0.02914563938975334, -0.03528156131505966, -0.018407771363854408)","(0.0, 0.0, 0.0, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.520700,1454,1625659903,970174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.03834952414035797, -0.02914563938975334, -0.03528156131505966, -0.018407771363854408)","(-0.07669904828071594, 0.0, 0.0, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.542927,1455,1625659903,990174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.03834952414035797, -0.02914563938975334, -0.03528156131505966, -0.018407771363854408)","(0.0, 0.0, 0.0, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.560437,1456,1625659904,10174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.03834952414035797, -0.02914563938975334, -0.03528156131505966, -0.018407771363854408)","(0.0, 0.0, 0.0, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.582228,1457,1625659904,30174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.036815542727708817, -0.02914563938975334, -0.036815542727708817, -0.018407771363854408)","(0.07669904828071594, 0.0, -0.07669904828071594, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.602542,1458,1625659904,50174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.03834952414035797, -0.02914563938975334, -0.036815542727708817, -0.018407771363854408)","(-0.07669904828071594, 0.0, 0.0, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.723098,1459,1625659904,70174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.036815542727708817, -0.02914563938975334, -0.03528156131505966, -0.018407771363854408)","(0.07669904828071594, 0.0, 0.07669904828071594, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
2021/07/07/14:11:43.723119,1460,1625659904,90174034,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(-0.03834952414035797, -0.02914563938975334, -0.03528156131505966, -0.018407771363854408)","(-0.07669904828071594, 0.0, 0.0, 0.0)","(-1.0241615065627887e-34, 5.700099973266403e+29, -6.233253000978334e+22, 4.157383415304139e-08)"
