time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/13:02:17.127750,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:17.227936,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:17.328259,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:17.428566,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:17.528920,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:17.629162,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:17.729484,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:17.830149,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:17.930379,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.030891,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.131161,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.231686,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.332166,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.432469,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.532801,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.633009,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.733323,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.833509,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:18.933756,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.034065,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.134308,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.234614,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.334813,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.435136,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.535506,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.635798,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.735979,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.836303,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:19.936717,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.036970,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.137142,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.237454,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.337798,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.438000,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.538427,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.638582,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.738942,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.839223,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:20.939454,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:21.039788,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:21.140130,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:21.240319,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:21.340562,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:02:21.440803,0.0,0.0,0.0,0.0,0.0,0.2
