time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/13:53:18.269245,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:18.369557,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:18.469823,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:18.570133,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:18.670537,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:18.770866,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:18.871143,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:18.971432,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.071852,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.172140,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.272428,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.372833,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.473250,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.574559,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.674772,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.775229,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.875638,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:19.975960,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.076979,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.177330,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.277797,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.378029,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.478351,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.578789,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.678959,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.779367,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.879698,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:20.979899,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.080334,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.180590,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.280893,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.381274,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.481475,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.581863,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.682122,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.782584,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.882825,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:21.983141,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.083473,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.183951,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.284221,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.384591,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.484809,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.585104,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.685584,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.785948,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.886265,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:22.986498,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.086871,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.187326,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.218141,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.318533,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.418811,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.434651,0.015,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.534948,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.635371,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:23.658783,0.02,0.0,0.0,0.0,0.0,-0.05
2021/07/07/13:53:23.758993,0.02,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:23.859224,0.02,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:23.959530,0.02,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:24.010484,0.02,0.0,0.0,0.0,0.0,-0.15
2021/07/07/13:53:24.010597,0.025,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.110826,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.211165,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.311567,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.412059,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.512188,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.612415,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.712783,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.813179,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.913667,0.03,0.0,0.0,0.0,0.0,-0.2
2021/07/07/13:53:24.914717,0.03,0.0,0.0,0.0,0.0,-0.15
2021/07/07/13:53:25.015103,0.03,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:25.115316,0.03,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:25.215667,0.03,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:25.316093,0.03,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:25.410509,0.03,0.0,0.0,0.0,0.0,-0.05
2021/07/07/13:53:25.510647,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:25.610897,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:25.711353,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:25.811678,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:25.912132,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.012549,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.112750,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.213086,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.258541,0.035,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.358835,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.459141,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.546638,0.045,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.646913,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.747254,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.847688,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:26.948649,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:27.048831,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:27.149130,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:27.249456,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:27.349777,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:27.450336,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:27.550668,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:27.650989,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/07/13:53:27.721927,0.05,0.0,0.0,0.0,0.0,-0.05
2021/07/07/13:53:27.822568,0.05,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:27.922712,0.05,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:28.023018,0.05,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:28.123342,0.05,0.0,0.0,0.0,0.0,-0.1
2021/07/07/13:53:28.223583,0.05,0.0,0.0,0.0,0.0,-0.1
