time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/07/13:16:32.868155,20093,1625656593,302654981,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:32.896836,20094,1625656593,342629909,,22.8589992523,0.325278580189,0.0,7.4355430603,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:32.936393,20095,1625656593,382519960,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:32.976648,20096,1625656593,422740936,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.017179,20097,1625656593,462656021,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.056376,20098,1625656593,502446889,,22.8589992523,0.292113304138,0.0,6.67741775513,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.096559,20099,1625656593,542555093,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.136821,20100,1625656593,582700014,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.177002,20101,1625656593,622828006,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.217057,20102,1625656593,662878036,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.256395,20103,1625656593,702536106,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.467045,20104,1625656593,742319107,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.467066,20105,1625656593,782671928,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.467075,20106,1625656593,822813987,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.467084,20107,1625656593,862524986,,22.8589992523,0.292113304138,0.0,6.67741775513,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.467096,20108,1625656593,902611017,,22.8589992523,0.292113304138,0.0,6.67741775513,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.541773,20109,1625656593,942634105,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.541782,20110,1625656593,982858896,,22.8589992523,0.292113304138,0.0,6.67741775513,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.577146,20111,1625656594,22944927,,22.8589992523,0.292113304138,0.0,6.67741775513,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.616502,20112,1625656594,62485933,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.656199,20113,1625656594,102319002,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.697918,20114,1625656594,142373085,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.736512,20115,1625656594,182544946,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.776616,20116,1625656594,222670078,,22.8589992523,0.292113304138,0.0,6.67741775513,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.817284,20117,1625656594,262793064,,22.8589992523,0.312012463808,0.0,7.1322927475,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.856991,20118,1625656594,302819013,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.897008,20119,1625656594,342842102,,22.8589992523,0.292113304138,0.0,6.67741775513,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.936346,20120,1625656594,382496118,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:33.976251,20121,1625656594,422334909,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.016482,20122,1625656594,462619066,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.056856,20123,1625656594,502671003,,22.8589992523,0.312012463808,0.0,7.1322927475,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.097342,20124,1625656594,542705059,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.136546,20125,1625656594,582479000,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.176310,20126,1625656594,622411012,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.219275,20127,1625656594,662396907,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.257041,20128,1625656594,702594041,,22.8589992523,0.312012463808,0.0,7.1322927475,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.467674,20129,1625656594,742614984,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.467688,20130,1625656594,782737970,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.467703,20131,1625656594,822463989,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.467708,20132,1625656594,862634897,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.467714,20133,1625656594,902626991,,22.8589992523,0.292113304138,0.0,6.67741775513,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.542082,20134,1625656594,942709922,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.542090,20135,1625656594,982800006,,22.8589992523,0.298746347427,0.0,6.82904243469,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.577057,20136,1625656595,22804021,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
2021/07/07/13:16:34.616556,20137,1625656595,62598943,,22.8589992523,0.305379420519,0.0,6.98066759109,0.0,0.0,0,0,0,False,(),,
