time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/07/13:16:36.312235,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:36.412564,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:36.512822,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:36.612998,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:36.713464,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:36.813671,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:36.914037,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.014189,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.114443,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.214869,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.315108,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.415380,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.515748,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.615979,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.716313,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.816602,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:37.916904,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.017219,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.117335,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.217775,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.317972,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.418257,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.518395,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.618696,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.719100,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.819427,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:38.919641,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.020112,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.120374,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.220904,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.321282,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.421631,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.521912,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.622151,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.722625,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.822914,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:39.923112,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.023371,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.123625,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.223981,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.325253,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.424707,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.525137,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.625328,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.725806,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.826150,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:40.926340,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.026691,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.126946,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.227107,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.327608,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.427794,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.528100,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.628403,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.728890,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.829349,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:41.929819,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.030210,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.130535,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.230875,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.331494,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.431954,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.532428,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.632824,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.733121,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.833456,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:42.933714,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.034122,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.134328,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.234677,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.334989,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.435269,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.535666,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.636044,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.736331,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.836619,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:43.937062,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.037268,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.137413,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.237756,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.338130,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.438605,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.538915,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.639232,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.739705,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.840069,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:44.940435,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.040751,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.141061,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.241526,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.341864,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.442320,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.542714,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.643031,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.743459,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.843906,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:45.944152,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.044512,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.144919,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.245346,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.345723,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.446842,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.546903,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.647195,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.747483,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.847784,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:46.948243,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.048571,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.148778,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.249080,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.349452,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.449866,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.550265,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.650694,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.750937,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.851099,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:47.951402,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.051849,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.152095,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.252303,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.352524,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.452933,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.553292,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.653599,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.753990,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.854120,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:48.954451,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.054835,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.155000,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.255395,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.355556,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.455850,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.556217,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.656685,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.757117,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.857619,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:49.957984,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.058280,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.158563,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.258912,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.359318,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.459571,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.559836,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.660126,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.760509,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.860738,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:50.961104,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:51.061342,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:51.161719,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/07/13:16:51.261975,0.0,0.0,0.0,0.0,0.0,0.2
