time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/19/13:07:09.689291,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:09.788974,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:09.889282,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:09.989537,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.089884,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.190233,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.290500,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.390791,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.491016,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.591248,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.691584,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.791854,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.892151,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:10.992404,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.092623,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.192951,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.293231,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.393462,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.493703,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.593957,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.694240,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.794489,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.894857,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:11.995157,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.095419,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.195763,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.296039,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.396346,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.496633,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.596975,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.697309,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.797525,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.897994,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:07:12.998233,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.098583,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.198866,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.299123,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.402520,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.500205,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.600543,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.700830,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.801144,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:13.901614,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.001774,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.102097,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.202435,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.302650,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.403152,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.503497,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.604033,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.704274,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.804633,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:14.904971,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.005205,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.105554,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.205837,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.306092,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.406547,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.507054,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.607480,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.707800,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.808079,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:15.908433,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:16.008976,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:16.109218,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:16.209468,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:16.309787,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:07:16.410206,0.0,0.0,0.0,0.0,0.0,0.65
