time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/19/13:19:46.550474,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:46.650935,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:46.751146,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:46.851488,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:46.951885,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.052061,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.152435,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.252698,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.352998,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.453383,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.553587,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.653937,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.754247,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.854633,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:47.954957,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.055203,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.155484,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.255812,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.356218,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.456475,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.556716,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.656995,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.757209,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.857520,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:48.957805,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.057985,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.158356,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.258586,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.358882,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.459163,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.559382,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.659634,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.759867,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:19:49.860199,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:49.960571,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.060824,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.161090,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.261546,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.361743,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.462099,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.562292,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.662602,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.763130,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.863383,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:50.963651,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.063844,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.164124,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.264491,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.364877,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.465164,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.565402,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.665719,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.766111,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.866292,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:51.966675,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.066926,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.167242,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.267763,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.368175,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.468450,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.568893,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.669160,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.769566,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.869935,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:52.970494,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.070806,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.171201,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.271661,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.372177,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.472519,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.572924,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.673230,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.773955,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.874134,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:19:53.974469,0.0,0.0,0.0,0.0,0.0,0.65
