time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/19/13:08:55.520813,73111,1626692937,133874893,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.564241,73112,1626692937,173954010,,22.4258174896,0.33191165328,0.0,7.44338989258,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.601292,73113,1626692937,213888883,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.641827,73114,1626692937,254023075,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.682550,73115,1626692937,293977975,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.721209,73116,1626692937,334152936,,22.4474773407,0.312012463808,0.0,7.00389242172,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.760498,73117,1626692937,373915910,,22.4258174896,0.305379420519,0.0,6.84838294983,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.801203,73118,1626692937,413842916,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.840200,73119,1626692937,453937053,,22.4474773407,0.305379420519,0.0,6.85499715805,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.880235,73120,1626692937,493959903,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.921320,73121,1626692937,534399032,,22.4474773407,0.312012463808,0.0,7.00389242172,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:55.960871,73122,1626692937,573996067,,22.4258174896,0.3186455369,0.0,7.1458864212,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:56.001168,73123,1626692937,614012002,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:56.040996,73124,1626692937,654048919,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:56.085348,73125,1626692937,693994998,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:56.123458,73126,1626692937,734036922,,22.4258174896,0.3186455369,0.0,7.1458864212,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:56.170516,73127,1626692937,773967981,,22.4474773407,0.312012463808,0.0,7.00389242172,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:56.200986,73128,1626692937,814009904,,22.4258174896,0.305379420519,0.0,6.84838294983,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:56.243226,73129,1626692937,854088068,,22.4474773407,0.312012463808,0.0,7.00389242172,0.0,0.0,0,0,0,False,(),,
2021/07/19/13:08:56.450899,73130,1626692937,893954038,,22.4258174896,0.312012463808,0.0,6.99713468552,0.0,0.0,0,0,0,False,(),,
