time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/19/12:25:53.082032,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.182172,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.282464,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.382749,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.482963,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.583225,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.683433,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.783852,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.884175,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:53.984610,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.084887,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.185054,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.285345,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.385681,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.485985,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.586376,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.686600,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.786953,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.887872,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:54.987793,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.088076,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.188335,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.288603,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.388911,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.489244,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.589750,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.689904,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.790263,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.890515,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:55.990806,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.091196,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.191453,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.291812,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.392124,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.492417,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.592784,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.693112,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.793302,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.893682,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:56.993946,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.094174,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.194567,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.294777,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.395087,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.495462,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.595782,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.695961,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.796240,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.896733,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:57.997015,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.097410,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.197676,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.297902,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.398371,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.498672,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.599013,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.699411,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.799669,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:58.899921,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.000228,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.100630,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.200826,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.300993,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.401286,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.501538,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.601804,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.702040,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.802243,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:25:59.902518,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.002894,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.103090,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.203241,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.303516,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.403773,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.504112,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.604346,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.704758,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.804841,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:00.905124,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.005510,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.105789,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.206173,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.306421,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.406707,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.507030,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.607217,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.707513,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.807745,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:01.907988,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.008338,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.108802,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.209123,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.309400,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.409675,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.509933,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.610275,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.710721,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.810863,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:02.911101,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.011466,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.111736,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.211959,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.312177,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.412437,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.512683,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.613011,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.713281,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.813476,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:03.913757,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.014116,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.114346,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.214769,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.315075,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.415326,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.515652,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.615845,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.716087,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.816296,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:04.916576,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.016891,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.117148,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.217466,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.317641,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.417976,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.518221,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.618541,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.718804,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.819165,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:05.919420,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:06.019668,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:06.120195,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:06.220417,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:26:06.320653,0.0,0.0,0.0,0.0,0.0,0.2
