time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/19/13:22:43.069384,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.169576,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.269979,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.370250,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.470689,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.570920,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.671133,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.771503,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.871832,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:43.972145,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.072388,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.172571,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.272863,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.373189,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.473497,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.573789,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.674069,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.774511,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.874827,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:44.975192,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.075476,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.175827,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.276406,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.376543,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.476900,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.577324,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.677515,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.777809,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.878170,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:45.978466,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.078868,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.179108,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.279421,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.379788,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.480118,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.580407,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.680676,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.781107,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.881433,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:46.981952,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.082387,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.182668,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.283018,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.383377,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.483707,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.584045,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.684294,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.784765,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.885205,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:47.985641,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.086238,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.186477,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.286768,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.387507,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.487959,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.588274,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.688539,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.788860,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.889125,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:48.989405,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.089697,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.189992,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.290181,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.390473,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.490837,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.591072,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.691278,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.791585,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.891837,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:49.992119,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.092270,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.192514,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.292727,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.393035,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.493382,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.593815,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.694018,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.794293,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.894544,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:50.994768,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.095036,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.195385,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.295600,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.395951,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.496318,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.596640,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.696809,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.797036,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.897410,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:51.997648,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.097933,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.198152,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.298373,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.399051,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.499230,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.599631,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.699887,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.800110,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:52.900400,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.000746,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.101056,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.201264,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.301598,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.402006,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.502311,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.602616,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.702926,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.803129,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:53.903493,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.003847,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.104120,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.204338,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.304588,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.404935,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.505272,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.605583,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.705893,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.806206,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:54.906531,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.006806,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.107230,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.207577,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.307851,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.408249,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.508610,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.609155,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.709399,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.809621,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:55.910082,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.010206,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.110667,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.210973,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.311228,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.411644,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.512383,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.612457,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.712729,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.812998,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:56.913371,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.013759,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.114103,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.214330,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.314674,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.415055,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.515378,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.615788,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.716308,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.816577,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:57.916936,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.017310,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.117743,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.218089,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.318454,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.418761,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.518993,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.619216,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.719572,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.819857,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:58.920216,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.020487,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.120863,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.221109,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.321491,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.421756,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.522228,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.622569,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.722875,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.823205,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:22:59.923460,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.024519,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.124813,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.225243,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.325512,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.425710,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.526050,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.626372,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.726703,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.826964,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:00.927262,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.027553,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.127888,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.228199,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.328587,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.428775,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.529080,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.629453,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.729710,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.830161,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:01.930381,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.030711,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.131027,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.231305,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.331562,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.431797,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.532093,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.632384,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.732639,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.833031,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:02.933344,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:23:03.033608,0.0,0.0,0.0,0.0,0.0,0.2
