time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/07/19/12:48:32.120959,67829,1626691713,730067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.137757,67830,1626691713,750067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.158971,67831,1626691713,770067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.176427,67832,1626691713,790067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.198508,67833,1626691713,810067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.218278,67834,1626691713,830067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.239263,67835,1626691713,850067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.261550,67836,1626691713,872067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.277320,67837,1626691713,890067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.298897,67838,1626691713,910067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.317237,67839,1626691713,930067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.338904,67840,1626691713,950067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
2021/07/19/12:48:32.358703,67841,1626691713,971067077,base_link,"['wheel_left_rear_joint', 'wheel_right_rear_joint', 'wheel_left_front_joint', 'wheel_right_front_joint']","(14.600431442260742, 109.35750579833984, 14.353460311889648, 112.0987319946289)","(0.0, 0.0, 0.0, 0.0)","(-34850.37890625, 5.898556858025022e+29, -6.188980815201431e+22, 4.905690964562837e-09)"
