time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/19/12:51:06.156073,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:06.256397,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:06.356666,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:06.456998,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:06.557313,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:06.657645,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:06.757972,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:06.858292,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:06.958621,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.059091,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.159257,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.259584,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.359893,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.460093,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.560506,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.660722,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.761202,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.861606,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:07.961884,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.062268,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.162599,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.263099,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.363268,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.463594,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.563914,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.664362,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.764838,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.865073,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:08.965472,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.065692,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.165955,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.266420,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.366625,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.467066,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.567261,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.667578,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.768360,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.868544,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:09.969057,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.069460,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.169765,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.270230,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.370578,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.470904,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.571376,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.671589,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.772126,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.872372,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:10.972629,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.072848,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.173236,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.273516,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.373932,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.474113,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.574454,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.674728,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.775049,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.875327,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:11.975625,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.075868,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.176108,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.276441,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.376687,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.477124,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.577263,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.677568,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.777919,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.878167,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:12.978486,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.078948,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.179109,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.279554,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.379839,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.480183,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.580611,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.680768,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.781242,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.881547,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:13.981667,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.081964,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.182260,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.282574,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.382932,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.483301,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.583462,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.683809,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.784208,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.884590,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:14.984840,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.085207,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.185499,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.285800,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.386161,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.486679,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.586989,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.687454,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.787813,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.888373,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:15.988553,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.088902,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.189233,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.289404,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.389874,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.490107,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.590461,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.690727,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.791069,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.891323,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:16.991620,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.092052,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.192364,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.292628,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.392972,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.493284,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.593590,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.693922,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.794230,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.894558,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:17.994891,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.095179,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.195476,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.295750,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.396177,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.496481,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.597095,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.697307,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.797489,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.898017,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:18.998476,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.098683,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.198994,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.299366,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.399838,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.500063,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.600390,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.694982,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.795209,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.895578,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:19.995893,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.096333,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.196542,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.296759,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.397275,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.497684,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.598094,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.655361,0.015,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.755674,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.807257,0.025,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.907643,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:20.991611,0.035,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:21.091937,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:21.190901,0.045,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:21.291167,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:21.391568,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:21.491855,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:21.592166,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/19/12:51:21.671148,0.05,0.0,0.0,0.0,0.0,0.05
2021/07/19/12:51:21.771529,0.05,0.0,0.0,0.0,0.0,0.1
2021/07/19/12:51:21.871990,0.05,0.0,0.0,0.0,0.0,0.1
2021/07/19/12:51:21.972666,0.05,0.0,0.0,0.0,0.0,0.1
2021/07/19/12:51:22.073028,0.05,0.0,0.0,0.0,0.0,0.1
2021/07/19/12:51:22.079874,0.05,0.0,0.0,0.0,0.0,0.15
2021/07/19/12:51:22.180099,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:22.280456,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:22.380784,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:22.481208,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:22.581728,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:22.682131,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:22.782482,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:22.882840,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:22.983065,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:23.083412,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:23.103511,0.055,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:23.203831,0.06,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:23.264838,0.065,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:23.365136,0.07,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:23.465462,0.07,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:51:23.565754,0.07,0.0,0.0,0.0,0.0,0.2
