time,.Y,.X,.Theta
2021/07/19/12:51:02.802502,3.58814334869,4.11219024658,1.06334328651
2021/07/19/12:51:02.835788,3.58814334869,4.11219024658,1.06334328651
2021/07/19/12:51:02.869062,3.58814334869,4.11219024658,1.06334328651
2021/07/19/12:51:02.902671,3.58814334869,4.11219024658,1.06334328651
2021/07/19/12:51:02.936075,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:02.969122,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.002484,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.035889,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.069173,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.102651,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.136047,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.169411,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.202629,3.5870718956,4.11246061325,1.06503129005
2021/07/19/12:51:03.235973,3.5870718956,4.11246061325,1.06503129005
2021/07/19/12:51:03.269580,3.5870718956,4.11246061325,1.06503129005
2021/07/19/12:51:03.302648,3.5870718956,4.11246061325,1.06503129005
2021/07/19/12:51:03.336074,3.5870718956,4.11246061325,1.06503129005
2021/07/19/12:51:03.369440,3.5870718956,4.11246061325,1.06503129005
2021/07/19/12:51:03.402546,3.5870718956,4.11246061325,1.06503129005
2021/07/19/12:51:03.435906,3.58966851234,4.11184358597,1.05878102779
2021/07/19/12:51:03.469275,3.58966851234,4.11184358597,1.05878102779
2021/07/19/12:51:03.502389,3.58966851234,4.11184358597,1.05878102779
2021/07/19/12:51:03.535823,3.58966851234,4.11184358597,1.05878102779
2021/07/19/12:51:03.569208,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.602561,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.635910,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:03.669032,3.58742594719,4.11234712601,1.06247746944
2021/07/19/12:51:03.702385,3.58742594719,4.11234712601,1.06247746944
2021/07/19/12:51:03.735806,3.58742594719,4.11234712601,1.06247746944
2021/07/19/12:51:03.769168,3.58742594719,4.11234712601,1.06247746944
2021/07/19/12:51:03.802429,3.58742594719,4.11234712601,1.06247746944
2021/07/19/12:51:03.835853,3.58742594719,4.11234712601,1.06247746944
2021/07/19/12:51:03.869096,3.58742594719,4.11234712601,1.06247746944
2021/07/19/12:51:03.902706,3.58742594719,4.11234712601,1.06247746944
2021/07/19/12:51:03.935923,3.58659744263,4.11259937286,1.06433832645
2021/07/19/12:51:03.969184,3.58659744263,4.11259937286,1.06433832645
2021/07/19/12:51:04.002442,3.58659744263,4.11259937286,1.06433832645
2021/07/19/12:51:04.035828,3.58659744263,4.11259937286,1.06433832645
2021/07/19/12:51:04.069149,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:04.102607,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:04.135999,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:04.169152,3.58760261536,4.11233043671,1.06315803528
2021/07/19/12:51:04.202424,3.59127831459,4.11148357391,1.05682337284
2021/07/19/12:51:04.235815,3.59127831459,4.11148357391,1.05682337284
2021/07/19/12:51:04.269228,3.59127831459,4.11148357391,1.05682337284
2021/07/19/12:51:04.302438,3.59127831459,4.11148357391,1.05682337284
2021/07/19/12:51:04.335738,3.59127831459,4.11148357391,1.05682337284
2021/07/19/12:51:04.369146,3.59127831459,4.11148357391,1.05682337284
2021/07/19/12:51:04.402542,3.59127831459,4.11148357391,1.05682337284
2021/07/19/12:51:04.435865,3.58924889565,4.11196088791,1.06125378609
2021/07/19/12:51:04.469195,3.58924889565,4.11196088791,1.06125378609
2021/07/19/12:51:04.502504,3.58924889565,4.11196088791,1.06125378609
2021/07/19/12:51:04.535801,3.58924889565,4.11196088791,1.06125378609
2021/07/19/12:51:04.569154,3.58937191963,4.11185455322,1.06051719189
2021/07/19/12:51:04.602577,3.58937191963,4.11185455322,1.06051719189
2021/07/19/12:51:04.636286,3.58937191963,4.11185455322,1.06051719189
2021/07/19/12:51:04.669251,3.58814334869,4.11219024658,1.06334328651
2021/07/19/12:51:04.702633,3.58814334869,4.11219024658,1.06334328651
2021/07/19/12:51:04.735828,3.58814334869,4.11219024658,1.06334328651
2021/07/19/12:51:04.769536,3.58814334869,4.11219024658,1.06334328651
