time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/19/12:41:48.161359,32427,1626691309,773693084,,22.5124530792,0.312012463808,0.0,7.02416658401,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.205785,32428,1626691309,814402103,,22.5124530792,0.345177769661,0.0,7.77079868317,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.243521,32429,1626691309,854724884,,22.5124530792,0.298746347427,0.0,6.72551345825,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.282927,32430,1626691309,894876956,,22.5124530792,0.298746347427,0.0,6.72551345825,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.325160,32431,1626691309,935255050,,22.5124530792,0.305379420519,0.0,6.87483978271,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.363369,32432,1626691309,975097894,,22.5124530792,0.305379420519,0.0,6.87483978271,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.403187,32433,1626691310,14662981,,22.5124530792,0.305379420519,0.0,6.87483978271,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.613446,32434,1626691310,54717063,,22.5124530792,0.298746347427,0.0,6.72551345825,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.613464,32435,1626691310,94676971,,22.5124530792,0.305379420519,0.0,6.87483978271,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.613476,32436,1626691310,134084939,,22.5124530792,0.305379420519,0.0,6.87483978271,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.613487,32437,1626691310,173974037,,22.5124530792,0.3186455369,0.0,7.17349290848,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.613497,32438,1626691310,213908910,,22.5124530792,0.312012463808,0.0,7.02416658401,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.692610,32439,1626691310,254036903,,22.5124530792,0.3186455369,0.0,7.17349290848,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.692627,32440,1626691310,293982028,,22.5124530792,0.305379420519,0.0,6.87483978271,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.722570,32441,1626691310,333865880,,22.5124530792,0.325278580189,0.0,7.32281923294,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.762753,32442,1626691310,373764038,,22.5124530792,0.3186455369,0.0,7.17349290848,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.802302,32443,1626691310,413851976,,22.5124530792,0.325278580189,0.0,7.32281923294,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.841753,32444,1626691310,453840017,,22.5124530792,0.3186455369,0.0,7.17349290848,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.883244,32445,1626691310,494594097,,22.5124530792,0.3186455369,0.0,7.17349290848,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.922404,32446,1626691310,533920049,,22.5124530792,0.325278580189,0.0,7.32281923294,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:48.962090,32447,1626691310,574126958,,22.5124530792,0.3186455369,0.0,7.17349290848,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:49.004900,32448,1626691310,614183902,,22.5124530792,0.3186455369,0.0,7.17349290848,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:49.043005,32449,1626691310,654067039,,22.5124530792,0.312012463808,0.0,7.02416658401,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:49.081167,32450,1626691310,693892955,,22.5124530792,0.35181081295,0.0,7.92012500763,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:49.128268,32451,1626691310,733501911,,22.5124530792,0.431407541037,0.0,9.71204185486,0.0,0.0,0,0,0,False,(),,
2021/07/19/12:41:49.164458,32452,1626691310,773883104,,22.5124530792,0.464572817087,0.0,10.4586744308,0.0,0.0,0,0,0,False,(),,
