time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/19/12:21:49.443361,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:49.543672,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:49.643969,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:49.744254,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:49.844539,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:49.944832,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.045023,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.145303,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.245632,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.346061,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.446280,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.546576,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.646900,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.747165,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.847464,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:50.947815,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.048089,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.149096,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.248871,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.349256,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.449552,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.549722,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.649984,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.750299,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.850613,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:51.950876,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.051088,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.151421,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.251666,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.351942,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.452221,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.552494,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.652766,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.753247,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.853446,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:52.953745,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.054014,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.154362,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.254762,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.355033,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.455261,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.555504,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.655746,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.756129,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.856466,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:53.956676,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:54.056904,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:54.157212,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:54.257470,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:54.357834,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:54.458130,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/19/12:21:54.558332,0.0,0.0,0.0,0.0,0.0,0.2
