time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/19/13:00:47.551699,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:47.651986,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:47.752366,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:47.852601,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:47.931365,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.031792,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.098918,0.015,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.199192,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.260493,0.025,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.360729,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.461013,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.467334,0.035,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.568033,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.667116,0.045,0.0,0.0,0.0,0.0,0.0
2021/07/19/13:00:48.698829,0.05,0.0,0.0,0.0,0.0,0.05
2021/07/19/13:00:48.799107,0.05,0.0,0.0,0.0,0.0,0.1
2021/07/19/13:00:48.901198,0.05,0.0,0.0,0.0,0.0,0.1
2021/07/19/13:00:48.931108,0.05,0.0,0.0,0.0,0.0,0.15
2021/07/19/13:00:49.031449,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:00:49.131837,0.05,0.0,0.0,0.0,0.0,0.2
2021/07/19/13:00:49.162958,0.05,0.0,0.0,0.0,0.0,0.25
2021/07/19/13:00:49.187254,0.055,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:49.287492,0.06,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:49.387744,0.06,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:49.475280,0.06,0.0,0.0,0.0,0.0,0.35
2021/07/19/13:00:49.575649,0.06,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:49.635775,0.065,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:49.736037,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:49.836400,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:49.936744,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.036968,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.138258,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.238636,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.339018,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.439159,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.539438,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.639940,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.740101,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.840422,0.07,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:50.875186,0.07,0.0,0.0,0.0,0.0,0.45
2021/07/19/13:00:50.947574,0.075,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.048008,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.149094,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.248764,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.348990,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.449566,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.549913,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.650763,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.751050,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.851550,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:51.951695,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:52.052029,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:52.152309,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:52.186613,0.08,0.0,0.0,0.0,0.0,0.45
2021/07/19/13:00:52.286827,0.08,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:52.387209,0.08,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:52.411576,0.08,0.0,0.0,0.0,0.0,0.35
2021/07/19/13:00:52.512796,0.08,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:52.612324,0.08,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:52.712577,0.08,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:52.813039,0.08,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:52.867362,0.085,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:52.967692,0.09,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:53.068199,0.09,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:53.168414,0.09,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:53.268999,0.09,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:53.369368,0.09,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:53.469820,0.09,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:53.570261,0.09,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:53.670583,0.09,0.0,0.0,0.0,0.0,0.3
2021/07/19/13:00:53.674718,0.09,0.0,0.0,0.0,0.0,0.35
2021/07/19/13:00:53.775084,0.09,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:53.875612,0.09,0.0,0.0,0.0,0.0,0.4
2021/07/19/13:00:53.939289,0.09,0.0,0.0,0.0,0.0,0.45
2021/07/19/13:00:54.039503,0.09,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.139910,0.09,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.240320,0.09,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.340607,0.09,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.440991,0.09,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.541309,0.09,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.641752,0.09,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.715524,0.085,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.815815,0.08,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:54.914800,0.075,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:55.015171,0.07,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:55.115509,0.07,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:55.123209,0.065,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:55.223653,0.06,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:55.323814,0.06,0.0,0.0,0.0,0.0,0.5
2021/07/19/13:00:55.387416,0.06,0.0,0.0,0.0,0.0,0.55
2021/07/19/13:00:55.487665,0.06,0.0,0.0,0.0,0.0,0.6
2021/07/19/13:00:55.588102,0.06,0.0,0.0,0.0,0.0,0.6
2021/07/19/13:00:55.674526,0.06,0.0,0.0,0.0,0.0,0.65
2021/07/19/13:00:55.774915,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:55.875182,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:55.975480,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:56.075866,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:56.176204,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:56.276742,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:56.377194,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:56.477659,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:56.578104,0.06,0.0,0.0,0.0,0.0,0.7
2021/07/19/13:00:56.587682,0.06,0.0,0.0,0.0,0.0,0.75
