time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/20/11:37:14.954945,4357,1626773836,631078958,,22.2742042542,0.358443886042,0.0,7.98405218124,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:14.995571,4358,1626773836,670794963,,22.2742042542,0.312012463808,0.0,6.9498295784,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.035704,4359,1626773836,710997104,,22.2742042542,0.33191165328,0.0,7.39306783676,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.076039,4360,1626773836,750956058,,22.2742042542,0.3186455369,0.0,7.09757566452,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.114537,4361,1626773836,790643930,,22.2742042542,0.3186455369,0.0,7.09757566452,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.163210,4362,1626773836,830931901,,22.2742042542,0.325278580189,0.0,7.24532175064,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.196105,4363,1626773836,871068954,,22.2742042542,0.3186455369,0.0,7.09757566452,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.235451,4364,1626773836,910995006,,22.2742042542,0.325278580189,0.0,7.24532175064,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.275131,4365,1626773836,950876951,,22.2742042542,0.312012463808,0.0,6.9498295784,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.314804,4366,1626773836,990833997,,22.2742042542,0.325278580189,0.0,7.24532175064,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.363961,4367,1626773837,30579090,,22.2742042542,0.325278580189,0.0,7.24532175064,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.403581,4368,1626773837,70667982,,22.2742042542,0.3186455369,0.0,7.09757566452,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.434903,4369,1626773837,110846996,,22.2742042542,0.3186455369,0.0,7.09757566452,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.476112,4370,1626773837,150949001,,22.2742042542,0.312012463808,0.0,6.9498295784,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.515682,4371,1626773837,190968036,,22.2742042542,0.3186455369,0.0,7.09757566452,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:37:15.722318,4372,1626773837,230950117,,22.2742042542,0.3186455369,0.0,7.09757566452,0.0,0.0,0,0,0,False,(),,
