time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/20/11:41:40.475021,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:40.575348,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:40.675769,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:40.776235,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:40.876689,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:40.976905,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.077235,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.177480,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.277755,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.378008,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.478435,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.578758,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.678988,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.779254,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.879535,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:41.979960,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.080221,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.180413,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.280775,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.381088,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.481371,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.581770,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.654801,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.755151,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.807025,0.015,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.907305,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:42.959340,0.025,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.059618,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.111161,0.035,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.211446,0.04,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.238807,0.045,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.339165,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.438569,0.055,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.538760,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.639397,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.739494,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.839804,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:43.940219,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.040653,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.141061,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.241244,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.341574,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.442023,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.542329,0.06,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.542782,0.065,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.643197,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.743490,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.843819,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:44.944239,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.044428,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.144832,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.245056,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.345403,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.445709,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.545868,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.646315,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.746741,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.847056,0.07,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:41:45.888246,0.07,0.0,0.0,0.0,0.0,0.05
2021/07/20/11:41:45.988655,0.07,0.0,0.0,0.0,0.0,0.1
2021/07/20/11:41:46.088974,0.07,0.0,0.0,0.0,0.0,0.1
2021/07/20/11:41:46.189489,0.07,0.0,0.0,0.0,0.0,0.1
2021/07/20/11:41:46.230802,0.07,0.0,0.0,0.0,0.0,0.15
2021/07/20/11:41:46.330993,0.07,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:41:46.431349,0.07,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:41:46.531635,0.07,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:41:46.622350,0.07,0.0,0.0,0.0,0.0,0.25
2021/07/20/11:41:46.722741,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:46.823079,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:46.923387,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.024639,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.124807,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.225183,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.325460,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.425682,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.526636,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.626989,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.727256,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.827615,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:47.927889,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:48.028394,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:48.128681,0.07,0.0,0.0,0.0,0.0,0.3
2021/07/20/11:41:48.215202,0.065,0.0,0.0,0.0,0.0,0.3
