time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/20/11:10:36.444128,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:36.544398,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:36.644697,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:36.744972,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:36.845214,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:36.945448,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.045606,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.145877,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.246163,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.346446,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.446784,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.547064,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.647466,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.747809,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.848305,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:37.948541,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.048794,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.149396,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.249635,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.349845,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.450234,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.550493,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.650767,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.750940,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.851414,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:38.951720,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.051855,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.152256,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.252572,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.352854,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.453201,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.553425,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.653799,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.754177,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.854506,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:39.954824,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.055174,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.155441,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.255730,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.356176,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.456429,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.556702,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.657080,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.757400,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.857774,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:40.958104,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.058324,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.158643,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.258977,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.359306,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.459626,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.559954,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.660506,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.760916,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.861269,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:41.961807,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.062224,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.162561,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.263634,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.363933,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.464153,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.564605,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.664980,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.765428,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.865676,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:42.965933,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.066381,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.166879,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.267305,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.367770,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.468242,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.568685,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.668936,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.769299,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.869680,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:43.970037,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.070311,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.170537,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.270909,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.371184,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.471546,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.571893,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.672114,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.772491,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.872817,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:44.973160,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.073466,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.173764,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.274192,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.374527,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.474857,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.575014,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.675262,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.775589,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.875941,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:45.976115,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.076426,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.176675,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.276885,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.377198,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.477481,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.577838,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.678147,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.778445,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.878770,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:46.978998,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.079293,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.179692,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.279908,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.380188,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.480459,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.580889,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.681098,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.781439,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/11:10:47.881783,0.0,0.0,0.0,0.0,0.0,0.2
