time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/20/12:04:51.924078,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.024448,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.124731,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.225076,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.325401,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.425648,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.525869,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.626354,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.726691,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.827021,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:52.927356,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.027777,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.128123,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.228430,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.328666,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.428880,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.529274,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.589892,0.005,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.690252,0.01,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.781453,0.015,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.881895,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:53.982177,0.02,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:54.005590,0.025,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:54.105906,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:54.206322,0.03,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:04:54.221478,0.03,0.0,0.0,0.0,0.0,0.05
2021/07/20/12:04:54.321819,0.03,0.0,0.0,0.0,0.0,0.1
2021/07/20/12:04:54.422222,0.03,0.0,0.0,0.0,0.0,0.1
2021/07/20/12:04:54.523019,0.03,0.0,0.0,0.0,0.0,0.1
2021/07/20/12:04:54.581948,0.03,0.0,0.0,0.0,0.0,0.15
2021/07/20/12:04:54.682376,0.03,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:04:54.782796,0.03,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:04:54.883226,0.03,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:04:54.983897,0.03,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:04:55.084331,0.03,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:04:55.184642,0.03,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:04:55.285116,0.03,0.0,0.0,0.0,0.0,0.2
