time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/20/11:26:42.565516,39809,1626773204,235440015,,22.317522049,0.325278580189,0.0,7.25941228867,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.600030,39810,1626773204,275350093,,22.317522049,0.33191165328,0.0,7.40744543076,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.641238,39811,1626773204,315727949,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.682002,39812,1626773204,355941057,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.720123,39813,1626773204,395340919,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.774820,39814,1626773204,435623884,,22.317522049,0.325278580189,0.0,7.25941228867,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.801145,39815,1626773204,475892066,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.840718,39816,1626773204,515770912,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.880831,39817,1626773204,555757999,,22.317522049,0.325278580189,0.0,7.25941228867,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.920027,39818,1626773204,595453977,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:42.960456,39819,1626773204,635610103,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.000443,39820,1626773204,675594091,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.041344,39821,1626773204,715864896,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.080776,39822,1626773204,755933046,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.122245,39823,1626773204,795955896,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.161712,39824,1626773204,835844039,,22.317522049,0.298746347427,0.0,6.66727828979,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.201274,39825,1626773204,875773906,,22.317522049,0.325278580189,0.0,7.25941228867,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.240376,39826,1626773204,915489912,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.428774,39827,1626773204,955893993,,22.317522049,0.325278580189,0.0,7.25941228867,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.428793,39828,1626773204,995908021,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.428811,39829,1626773205,35870075,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.428838,39830,1626773205,75867891,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.442286,39831,1626773205,115907907,,22.317522049,0.325278580189,0.0,7.25941228867,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.482675,39832,1626773205,156153917,,22.317522049,0.305379420519,0.0,6.81531190872,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.521404,39833,1626773205,195687055,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.560411,39834,1626773205,235559940,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.600504,39835,1626773205,275576114,,22.317522049,0.305379420519,0.0,6.81531190872,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.641399,39836,1626773205,316152095,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.683411,39837,1626773205,355933904,,22.317522049,0.305379420519,0.0,6.81531190872,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.721239,39838,1626773205,395761966,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.760581,39839,1626773205,435652017,,22.2958621979,0.312012463808,0.0,6.95658731461,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.800846,39840,1626773205,475958108,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.840412,39841,1626773205,515453100,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.880538,39842,1626773205,555645942,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.921790,39843,1626773205,596122026,,22.317522049,0.325278580189,0.0,7.25941228867,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:43.961537,39844,1626773205,635895013,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:44.001542,39845,1626773205,675765037,,22.317522049,0.3186455369,0.0,7.11137866974,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:26:44.041700,39846,1626773205,715480089,,22.317522049,0.312012463808,0.0,6.96334505081,0.0,0.0,0,0,0,False,(),,
