time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/20/11:26:47.798716,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:47.899163,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:47.999319,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.099637,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.199942,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.300271,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.400551,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.500846,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.601106,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.701403,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.801725,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:48.901926,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.002193,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.102687,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.202989,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.303225,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.403531,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.504075,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.604487,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.704634,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.804897,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:49.905131,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:50.005641,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:50.105966,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:50.206203,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:50.306441,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:26:50.406734,0.05,0.0,0.0,0.0,0.0,0.0
