time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/20/11:34:33.835152,329,1626773675,510806083,,22.2958621979,0.338544696569,0.0,7.54814624786,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:33.875490,330,1626773675,550820112,,22.2958621979,0.3186455369,0.0,7.10447692871,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:33.915371,331,1626773675,590795040,,22.2958621979,0.325278580189,0.0,7.25236701965,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:33.955368,332,1626773675,630886077,,22.2958621979,0.3186455369,0.0,7.10447692871,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:33.996674,333,1626773675,670902967,,22.2958621979,0.312012463808,0.0,6.95658731461,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.052296,334,1626773675,711004018,,22.2958621979,0.325278580189,0.0,7.25236701965,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.074633,335,1626773675,750567913,,22.2958621979,0.312012463808,0.0,6.95658731461,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.118215,336,1626773675,790891885,,22.2958621979,0.312012463808,0.0,6.95658731461,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.155068,337,1626773675,830811977,,22.2958621979,0.3186455369,0.0,7.10447692871,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.195422,338,1626773675,870801925,,22.2958621979,0.3186455369,0.0,7.10447692871,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.235522,339,1626773675,910804986,,22.2958621979,0.3186455369,0.0,7.10447692871,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.275298,340,1626773675,950812101,,22.2958621979,0.325278580189,0.0,7.25236701965,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.318585,341,1626773675,991429090,,22.2958621979,0.3186455369,0.0,7.10447692871,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.355633,342,1626773676,30956029,,22.2958621979,0.3186455369,0.0,7.10447692871,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.394396,343,1626773676,70570945,,22.2958621979,0.312012463808,0.0,6.95658731461,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.435305,344,1626773676,111293077,,22.2958621979,0.325278580189,0.0,7.25236701965,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.475245,345,1626773676,150768995,,22.2958621979,0.325278580189,0.0,7.25236701965,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.682935,346,1626773676,190665960,,22.2958621979,0.3186455369,0.0,7.10447692871,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:34:34.682957,347,1626773676,230881929,,22.2958621979,0.312012463808,0.0,6.95658731461,0.0,0.0,0,0,0,False,(),,
