time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/20/11:50:36.519711,13683,1626774638,196922063,,22.2092266083,0.338544696569,0.0,7.51881599426,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.560136,13684,1626774638,236582994,,22.2308864594,0.33191165328,0.0,7.37868976593,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.599996,13685,1626774638,276849031,,22.2092266083,0.312012463808,0.0,6.92955589294,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.640952,13686,1626774638,317490100,,22.2308864594,0.33191165328,0.0,7.37868976593,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.683055,13687,1626774638,356925964,,22.2092266083,0.312012463808,0.0,6.92955589294,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.719763,13688,1626774638,396922111,,22.2092266083,0.3186455369,0.0,7.07687091827,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.760323,13689,1626774638,436727046,,22.2308864594,0.3186455369,0.0,7.08377218246,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.802524,13690,1626774638,477009057,,22.2308864594,0.3186455369,0.0,7.08377218246,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.841310,13691,1626774638,517016887,,22.2308864594,0.312012463808,0.0,6.93631362915,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.880505,13692,1626774638,556921005,,22.2308864594,0.3186455369,0.0,7.08377218246,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:36.920592,13693,1626774638,597027063,,22.2092266083,0.3186455369,0.0,7.07687091827,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.126352,13694,1626774638,636668920,,22.2092266083,0.325278580189,0.0,7.2241859436,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.126360,13695,1626774638,676542043,,22.2308864594,0.312012463808,0.0,6.93631362915,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.126408,13696,1626774638,717029094,,22.2308864594,0.312012463808,0.0,6.93631362915,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.126414,13697,1626774638,756903886,,22.2092266083,0.325278580189,0.0,7.2241859436,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.126450,13698,1626774638,796928882,,22.2092266083,0.312012463808,0.0,6.92955589294,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.206387,13699,1626774638,836879014,,22.2308864594,0.312012463808,0.0,6.93631362915,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.206396,13700,1626774638,876981973,,22.2308864594,0.3186455369,0.0,7.08377218246,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.240813,13701,1626774638,916917085,,22.2092266083,0.325278580189,0.0,7.2241859436,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.280063,13702,1626774638,956744909,,22.2092266083,0.312012463808,0.0,6.92955589294,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.321235,13703,1626774638,996948957,,22.2308864594,0.312012463808,0.0,6.93631362915,0.0,0.0,0,0,0,False,(),,
2021/07/20/11:50:37.359779,13704,1626774639,36644935,,22.2308864594,0.3186455369,0.0,7.08377218246,0.0,0.0,0,0,0,False,(),,
