time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/20/11:50:38.389659,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:38.489893,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:38.590086,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:38.690368,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:38.790647,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:38.890924,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:38.991276,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.091557,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.191816,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.292094,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.392399,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.492574,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.592833,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.693211,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.793509,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.893846,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:39.994172,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.094453,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.194810,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.295037,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.395271,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.495570,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.595803,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.696234,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.796452,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.896857,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:40.997100,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:41.097447,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:41.197836,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:41.298073,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:41.398657,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:41.498826,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:41.599060,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:50:41.699431,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:41.799781,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:41.900357,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.000685,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.100891,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.201277,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.301666,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.401811,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.502201,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.602511,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.702914,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.803230,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:42.903510,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.003874,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.104149,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.204547,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.304880,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.405144,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.505437,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.605693,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.706069,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.806417,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:50:43.906646,0.0,0.0,0.0,0.0,0.0,0.65
