time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/20/12:09:56.836093,8627,1626775798,511585950,,22.1442489624,0.3186455369,0.0,7.05616617203,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:56.870562,8628,1626775798,547652959,,22.1442489624,0.345177769661,0.0,7.64370250702,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:56.909793,8629,1626775798,588007926,,22.1659088135,0.33191165328,0.0,7.35712337494,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:56.955703,8630,1626775798,628124952,,22.1442489624,0.325278580189,0.0,7.20305013657,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:56.990325,8631,1626775798,668001890,,22.1442489624,0.3186455369,0.0,7.05616617203,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.030473,8632,1626775798,707812070,,22.1442489624,0.325278580189,0.0,7.20305013657,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.069674,8633,1626775798,747840881,,22.1442489624,0.312012463808,0.0,6.90928220749,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.109662,8634,1626775798,787645101,,22.1442489624,0.33191165328,0.0,7.34993457794,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.149158,8635,1626775798,827637910,,22.1659088135,0.3186455369,0.0,7.06306791306,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.190325,8636,1626775798,867887973,,22.1442489624,0.33191165328,0.0,7.34993457794,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.229737,8637,1626775798,907919883,,22.1442489624,0.3186455369,0.0,7.05616617203,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.269273,8638,1626775798,947616100,,22.1442489624,0.33191165328,0.0,7.34993457794,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.309301,8639,1626775798,987622976,,22.1442489624,0.325278580189,0.0,7.20305013657,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.350897,8640,1626775799,28036117,,22.1442489624,0.3186455369,0.0,7.05616617203,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.392673,8641,1626775799,68263053,,22.1442489624,0.3186455369,0.0,7.05616617203,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.430813,8642,1626775799,108155012,,22.1659088135,0.325278580189,0.0,7.21009540558,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.473044,8643,1626775799,148291110,,22.1442489624,0.325278580189,0.0,7.20305013657,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.676590,8644,1626775799,188000917,,22.1442489624,0.3186455369,0.0,7.05616617203,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.676608,8645,1626775799,227807998,,22.1442489624,0.312012463808,0.0,6.90928220749,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.676614,8646,1626775799,267807960,,22.1442489624,0.325278580189,0.0,7.20305013657,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.676633,8647,1626775799,307589054,,22.1442489624,0.325278580189,0.0,7.20305013657,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.676644,8648,1626775799,347609996,,22.1442489624,0.3186455369,0.0,7.05616617203,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.710950,8649,1626775799,387795925,,22.1442489624,0.3186455369,0.0,7.05616617203,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.749822,8650,1626775799,428064107,,22.1442489624,0.325278580189,0.0,7.20305013657,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.790302,8651,1626775799,468250036,,22.1442489624,0.371710002422,0.0,8.23123931885,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:09:57.831044,8652,1626775799,507889986,,22.1442489624,0.511004269123,0.0,11.3158054352,0.0,0.0,0,0,0,False,(),,
