time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/20/12:09:57.656472,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:57.756815,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:57.857168,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:57.957570,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.057970,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.158376,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.258820,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.359331,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.459819,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.560257,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.660570,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.761079,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.861179,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:58.961563,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.061850,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.162152,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.263137,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.362969,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.463420,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.563697,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.663959,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.764302,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.864625,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:09:59.964905,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.065242,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.165529,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.266049,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.366291,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.466628,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.567054,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.667287,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.767715,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.868178,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:00.968499,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.068804,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.169095,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.269421,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.369780,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.470112,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.570438,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.670559,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.770868,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.871206,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:01.971538,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.071849,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.172108,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.272387,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.372759,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.473106,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.573413,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.673654,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.774165,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.874483,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:02.974726,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.075070,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.175357,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.275593,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.375964,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.476291,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.576570,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.676782,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.777005,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.877443,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:03.977648,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.077833,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.178116,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.278331,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.378734,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.479243,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.579556,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.679892,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.780222,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.880618,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:04.980996,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.081306,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.181573,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.281777,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.382008,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.482278,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.582679,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.682930,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.783172,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.883468,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:05.983678,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.084029,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.184491,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.285079,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.385428,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.485698,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.586131,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.686394,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.786777,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.887669,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:06.988026,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.088231,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.188430,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.288719,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.389342,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.489606,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.589921,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.690227,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.790668,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.891029,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:07.991323,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.091640,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.191995,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.292341,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.392592,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.492926,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.593193,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.693553,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.793814,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.894113,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:08.994346,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.094691,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.195072,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.295370,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.395736,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.496108,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.596442,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.696781,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.797153,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.897701,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:09.998044,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:10.098357,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:10.198595,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:10.298896,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:10.399414,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:10.499666,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:10.599932,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:10.700537,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:10.800695,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:10.900970,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.001333,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.101649,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.202116,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.302447,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.402755,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.503135,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.603420,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.703860,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.804191,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:11.904510,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.004802,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.105056,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.205480,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.305752,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.406112,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.506623,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.606981,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.707454,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.807759,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:12.907981,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:13.008236,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:13.108560,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:13.208913,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:13.309234,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:13.409511,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:13.509781,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:13.610081,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/12:10:13.710537,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:13.810848,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:13.911085,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.011397,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.111629,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.211963,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.312200,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.412597,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.512846,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.613047,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.713461,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.813736,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:14.913956,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:15.014217,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:15.114453,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/12:10:15.214887,0.0,0.0,0.0,0.0,0.0,0.65
