time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2021/07/20/12:19:34.188557,6521,1626776375,866194009,,22.1225910187,0.3186455369,0.0,7.049264431,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.226286,6522,1626776375,904836893,,22.1225910187,0.345177769661,0.0,7.63622617722,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.267014,6523,1626776375,945108890,,22.1225910187,0.3186455369,0.0,7.049264431,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.307777,6524,1626776375,985374927,,22.1225910187,0.3186455369,0.0,7.049264431,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.347469,6525,1626776376,25011062,,22.1225910187,0.3186455369,0.0,7.049264431,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.386002,6526,1626776376,65001964,,22.1225910187,0.3186455369,0.0,7.049264431,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.427347,6527,1626776376,105098962,,22.1009311676,0.312012463808,0.0,6.89576625824,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.466840,6528,1626776376,145430088,,22.1225910187,0.3186455369,0.0,7.049264431,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.507852,6529,1626776376,185379981,,22.1225910187,0.365076929331,0.0,8.07644748688,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.546196,6530,1626776376,224976062,,22.1225910187,0.444673657417,0.0,9.83733272552,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.586464,6531,1626776376,264908075,,22.1225910187,0.471205890179,0.0,10.4242944717,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.639192,6532,1626776376,304765939,,22.1009311676,0.484472006559,0.0,10.70728302,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.667184,6533,1626776376,345274925,,22.1225910187,0.491105079651,0.0,10.8645162582,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.708260,6534,1626776376,385468959,,22.1009311676,0.504371166229,0.0,11.1470727921,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.911700,6535,1626776376,425029039,,22.1225910187,0.517637312412,0.0,11.4514780045,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.911713,6536,1626776376,465022087,,22.1009311676,0.530903398991,0.0,11.7334604263,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.911721,6537,1626776376,504743099,,22.1009311676,0.530903398991,0.0,11.7334604263,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.911732,6538,1626776376,545223951,,22.1009311676,0.530903398991,0.0,11.7334604263,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.911742,6539,1626776376,585495948,,22.1009311676,0.524270355701,0.0,11.5868635178,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.972443,6540,1626776376,625526905,,22.1009311676,0.524270355701,0.0,11.5868635178,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:34.986994,6541,1626776376,665555000,,22.1009311676,0.524270355701,0.0,11.5868635178,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:35.027995,6542,1626776376,705178022,,22.1009311676,0.517637312412,0.0,11.4402666092,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:35.066739,6543,1626776376,745008945,,22.1009311676,0.524270355701,0.0,11.5868635178,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:35.109273,6544,1626776376,784770965,,22.1225910187,0.517637312412,0.0,11.4514780045,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:35.148199,6545,1626776376,824803113,,22.1225910187,0.530903398991,0.0,11.7449588776,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:35.186650,6546,1626776376,865176916,,22.1009311676,0.524270355701,0.0,11.5868635178,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:35.227514,6547,1626776376,905250072,,22.1009311676,0.517637312412,0.0,11.4402666092,0.0,0.0,0,0,0,False,(),,
2021/07/20/12:19:35.266707,6548,1626776376,945235013,,22.1009311676,0.530903398991,0.0,11.7334604263,0.0,0.0,0,0,0,False,(),,
