time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/20/12:19:34.415127,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:34.515021,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:34.615425,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:34.715672,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:34.816147,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:34.916378,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.016717,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.117061,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.217301,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.317598,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.417898,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.518104,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.618440,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.718778,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.819095,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:35.919308,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.019851,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.120227,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.220584,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.320897,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.421089,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.521533,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.621775,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.722146,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.822433,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:36.922608,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.023119,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.123553,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.223799,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.324036,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.424273,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.524715,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.625053,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.725399,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.825607,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:37.925861,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.026279,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.126710,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.227026,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.327321,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.427559,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.527886,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.628367,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.728738,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.829163,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:38.929587,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.029891,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.130211,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.230470,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.330868,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.431156,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.531409,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.631813,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.732157,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.832456,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:39.932666,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.033005,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.133333,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.233601,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.333883,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.434091,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.534342,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.634668,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.734988,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.835336,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:40.935685,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.035852,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.136307,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.236654,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.337026,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.437364,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.537540,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.638148,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.738516,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.838782,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:41.939058,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.039360,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.139707,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.240010,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.340254,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.440572,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.540949,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.641206,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.741567,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.841872,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:42.942183,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.042569,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.142853,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.243057,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.343405,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.443718,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.543996,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.644300,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.744767,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.845123,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:43.945341,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.045729,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.146091,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.246373,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.346653,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.446836,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.547184,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.647732,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.747983,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.848340,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:44.948569,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:45.048830,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:45.149524,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:45.249715,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:45.350081,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:45.450335,0.0,0.0,0.0,0.0,0.0,0.2
2021/07/20/12:19:45.550872,0.0,0.0,0.0,0.0,0.0,0.2
