time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/07/20/11:44:37.802764,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:37.902910,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.003217,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.103415,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.203669,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.304031,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.404402,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.504685,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.605028,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.705256,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.805525,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:38.905880,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.006189,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.106703,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.206932,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.307297,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.407608,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.507962,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.608469,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.708755,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.809057,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:39.909322,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.009546,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.109880,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.210131,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.310471,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.410668,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.510914,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.611268,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.711513,0.05,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.811780,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:40.911975,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:41.012286,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/20/11:44:41.112721,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:41.213002,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:41.313291,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:41.413514,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:41.513790,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:41.614183,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:41.714495,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:41.814729,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:41.915035,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.015452,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.115762,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.216177,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.316425,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.416752,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.517163,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.617475,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.717854,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.818098,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:42.918391,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:43.018781,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:43.119308,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:43.219558,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:43.320084,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:43.420346,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:43.520866,0.0,0.0,0.0,0.0,0.0,0.65
2021/07/20/11:44:43.621528,0.0,0.0,0.0,0.0,0.0,0.65
