time,.Y,.X,.Theta
2021/07/20/11:18:16.034987,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.068327,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.101753,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.135112,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.168365,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.201664,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.234940,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.268508,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.301932,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.335127,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.368344,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.401600,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.435034,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.468304,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.501696,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.534984,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.568302,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.601902,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.635098,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.668329,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.701808,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.735012,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.768467,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.801651,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.835110,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.868432,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.901669,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.935129,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:16.968524,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.002035,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.034998,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.068343,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.101647,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.134936,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.168340,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.201739,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.235018,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.268367,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.301693,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.335066,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.368359,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.401625,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.435028,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.468451,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.501694,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.534975,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.568323,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.601728,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.635035,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.668345,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.701617,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.735031,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.768435,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.801769,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.835068,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.868435,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.901740,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.935007,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:17.968333,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.001777,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.035053,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.068282,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.101750,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.135049,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.168375,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.201716,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.234933,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.268510,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.301655,1.74937188625,5.23838853836,-4.21938562393
2021/07/20/11:18:18.335056,1.74937188625,5.23838853836,-4.21938562393
